 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
3637,610.506,1664.827,1157.437,1918.209,1431.425,1248.251,1335.221,1372.082,1284.259,1133.480,3014.634,1492.085,1551.821,1612.530,2070.181,2284.478,2545.211,1621.907,1580.753,1464.581,1548.941,1854.139,1663.279,1330.385,1293.514,1199.534,1331.293,2391.282,3519.169,2697.247,3676.786,1056.554,959.507,2839.514
3638,613.970,1669.353,1163.046,1922.466,1437.568,1249.421,1338.352,1379.520,1280.615,1149.285,3013.005,1493.243,1554.288,1621.600,2064.498,2280.804,2550.571,1627.882,1582.958,1462.193,1537.318,1846.443,1666.039,1333.489,1296.558,1206.813,1345.239,2394.520,3526.855,2700.488,3676.777,1057.290,962.275,2840.355
3639,618.053,1672.823,1162.901,1922.608,1432.349,1258.549,1336.160,1376.295,1283.226,1136.725,3012.246,1491.165,1556.978,1616.333,2065.550,2291.547,2552.229,1635.382,1586.203,1468.693,1549.558,1841.581,1666.352,1339.141,1299.188,1204.338,1344.625,2396.691,3550.234,2716.763,3667.488,1058.878,956.129,2843.475
3640,612.484,1670.263,1161.309,1916.598,1431.139,1250.281,1331.995,1370.489,1276.764,1131.238,3010.677,1493.551,1553.291,1615.097,2066.988,2279.259,2551.054,1630.767,1581.039,1458.628,1536.156,1831.567,1650.258,1332.826,1290.959,1201.608,1344.532,2389.610,3538.047,2692.489,3670.977,1052.102,957.064,2843.874
3641,615.004,1673.344,1162.961,1930.975,1435.482,1252.724,1343.151,1381.102,1285.066,1134.359,3013.239,1492.121,1545.485,1612.904,2079.612,2289.625,2564.078,1634.334,1587.989,1455.766,1550.018,1850.168,1653.939,1338.784,1294.717,1202.600,1342.859,2413.439,3542.982,2695.464,3661.088,1060.307,959.245,2846.736
3642,616.427,1668.442,1159.512,1924.204,1435.311,1254.197,1339.656,1372.669,1277.502,1153.551,3010.715,1486.942,1547.002,1619.307,2068.437,2289.198,2550.001,1629.615,1577.358,1458.533,1535.399,1844.625,1648.841,1331.615,1292.318,1201.342,1341.233,2403.371,3525.630,2682.038,3665.014,1058.064,959.599,2838.231
3643,614.858,1671.045,1164.749,1924.811,1434.562,1260.253,1338.720,1375.590,1282.540,1139.531,3017.193,1491.121,1554.385,1619.245,2081.617,2288.684,2553.854,1642.264,1576.781,1459.051,1548.691,1842.532,1636.025,1330.113,1296.542,1198.920,1350.229,2402.463,3520.557,2694.301,3654.117,1060.676,957.864,2848.090
3644,618.010,1671.176,1160.842,1913.132,1435.181,1256.381,1342.312,1376.312,1287.537,1144.888,3009.856,1499.932,1550.365,1617.557,2081.985,2283.715,2547.248,1633.590,1580.240,1462.745,1540.087,1848.257,1637.591,1331.389,1301.490,1197.548,1347.419,2410.963,3540.180,2673.722,3668.970,1061.643,958.698,2841.243
3645,610.421,1670.356,1161.545,1921.410,1436.249,1256.514,1341.691,1377.572,1285.260,1150.136,3008.250,1487.027,1545.127,1616.734,2080.829,2286.409,2550.098,1626.956,1583.946,1452.920,1540.784,1847.636,1624.722,1326.214,1302.373,1196.250,1340.268,2415.832,3521.285,2704.197,3671.093,1065.036,958.081,2829.857
3646,609.607,1666.444,1161.830,1912.055,1433.831,1254.537,1336.643,1373.589,1274.348,1145.107,3012.346,1491.511,1542.280,1614.832,2066.860,2286.332,2549.311,1628.037,1574.424,1454.721,1543.532,1843.093,1624.384,1327.813,1300.291,1195.336,1340.276,2414.648,3531.349,2692.867,3681.585,1059.124,957.828,2827.383
