 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42
4893,660.549,1760.531,1648.742,1188.394,3290.226,2855.244,2322.722,1363.770,1959.055,1590.358,1290.084,1415.549,1115.697,1290.627,1509.768,2467.029,2657.426,2400.799,1865.627,1659.279,1413.691,1298.677,1680.873,3156.764,1540.483,1974.835,1886.467,1815.464,1469.927,1079.984,1148.874,1193.382,1107.919,1046.177,1225.956,1013.893,928.616,1065.109,906.334,1178.843,4487.160,1793.526
4894,668.794,1776.952,1661.454,1196.363,3297.684,2870.730,2326.766,1374.081,1971.430,1605.139,1293.368,1423.233,1119.190,1298.631,1517.429,2478.501,2657.193,2400.855,1871.893,1668.060,1426.682,1301.097,1693.211,3162.443,1541.609,1964.233,1892.871,1811.115,1481.782,1085.005,1156.527,1207.994,1108.512,1055.864,1228.680,1011.026,939.522,1075.441,915.281,1194.473,4495.861,1795.756
4895,657.681,1774.283,1655.469,1191.964,3293.828,2863.251,2331.617,1368.576,1965.065,1598.093,1294.552,1416.489,1116.439,1300.284,1506.376,2481.346,2650.165,2389.358,1860.633,1659.122,1417.547,1306.689,1694.225,3144.789,1530.148,1964.047,1886.986,1802.672,1474.244,1085.058,1157.285,1201.996,1107.135,1053.452,1224.948,1010.955,927.216,1066.870,909.148,1189.107,4478.778,1792.825
4896,660.195,1771.273,1652.082,1196.933,3290.441,2874.782,2327.332,1372.549,1968.886,1597.263,1294.922,1420.779,1119.264,1296.320,1512.374,2471.805,2638.996,2405.091,1872.377,1656.107,1413.951,1301.056,1694.956,3140.995,1529.107,1963.251,1901.882,1808.096,1473.370,1088.723,1158.967,1200.892,1108.495,1059.435,1224.064,1017.927,930.069,1066.554,911.808,1190.324,4503.022,1797.082
4897,663.805,1763.590,1651.292,1194.684,3301.152,2866.756,2327.439,1370.255,1968.978,1601.522,1297.253,1420.751,1118.541,1298.051,1510.891,2451.969,2631.927,2395.624,1872.793,1651.365,1415.939,1292.437,1681.645,3153.751,1524.868,1966.831,1887.468,1801.366,1471.013,1088.453,1151.587,1199.959,1100.159,1054.353,1228.479,1007.452,930.338,1078.113,909.220,1186.852,4466.550,1791.403
4898,666.284,1774.260,1656.310,1193.211,3311.831,2872.493,2333.277,1371.480,1971.889,1601.047,1295.975,1424.105,1116.832,1302.255,1502.215,2448.253,2642.231,2399.999,1876.835,1655.185,1419.415,1306.497,1696.765,3152.396,1526.884,1971.001,1891.186,1803.303,1474.606,1090.452,1158.543,1204.692,1106.375,1058.191,1230.397,1009.070,935.678,1074.038,908.651,1185.573,4504.382,1794.040
4899,664.992,1767.770,1653.089,1196.948,3311.286,2875.715,2323.311,1374.176,1968.598,1598.047,1298.130,1423.786,1119.324,1300.997,1499.562,2444.797,2625.769,2397.416,1876.399,1651.404,1418.162,1297.198,1698.912,3162.328,1527.166,1969.438,1891.501,1795.439,1479.596,1086.073,1159.840,1206.634,1106.155,1059.502,1239.268,1007.938,931.979,1074.774,914.877,1186.686,4518.859,1793.848
4900,662.977,1769.518,1649.343,1196.788,3316.172,2871.755,2324.936,1374.098,1971.023,1595.505,1296.253,1421.869,1117.181,1296.969,1496.379,2444.014,2619.082,2389.306,1888.597,1654.405,1418.634,1301.704,1700.969,3152.676,1520.204,1961.913,1893.889,1788.900,1466.833,1083.814,1159.353,1201.827,1105.253,1061.944,1229.779,1008.656,930.028,1080.884,910.414,1187.039,4517.231,1794.767
4901,663.707,1771.814,1655.676,1198.391,3322.311,2878.898,2310.930,1372.080,1975.373,1595.346,1298.685,1421.692,1113.788,1298.388,1495.310,2434.224,2624.007,2397.652,1881.906,1642.114,1421.213,1293.819,1695.407,3133.595,1518.894,1962.624,1888.299,1785.339,1471.770,1087.752,1149.625,1196.958,1107.403,1061.886,1222.529,1008.420,933.610,1077.163,912.830,1190.603,4507.451,1799.998
4902,660.553,1771.582,1645.671,1201.648,3314.273,2876.924,2311.846,1377.056,1957.193,1601.466,1301.894,1420.304,1115.100,1294.901,1498.568,2414.003,2613.973,2385.648,1889.202,1642.267,1420.825,1293.430,1702.457,3125.413,1515.532,1961.441,1888.411,1782.120,1470.219,1088.156,1161.114,1199.168,1103.427,1063.437,1224.954,1011.310,931.450,1081.074,908.697,1185.488,4510.409,1797.080
4903,663.236,1755.341,1640.861,1197.554,3316.457,2870.377,2318.976,1373.152,1956.558,1597.872,1297.642,1424.457,1114.861,1293.865,1492.497,2415.636,2601.520,2371.826,1886.158,1631.728,1407.923,1290.356,1690.746,3143.865,1517.016,1938.374,1889.788,1771.152,1467.413,1084.356,1153.244,1197.254,1095.220,1054.864,1236.521,1006.266,928.579,1077.542,908.201,1180.548,4503.279,1787.065
4904,654.181,1760.439,1645.469,1193.981,3323.676,2869.301,2330.198,1371.025,1974.648,1605.624,1299.225,1421.860,1111.569,1301.943,1497.904,2402.522,2604.960,2371.240,1882.997,1633.714,1415.370,1295.883,1703.246,3132.861,1513.576,1952.893,1872.868,1767.129,1474.221,1088.747,1156.300,1192.274,1103.587,1060.836,1239.805,1011.149,931.479,1080.172,912.174,1176.227,4511.397,1791.111
4905,667.788,1757.464,1641.972,1196.871,3319.683,2873.916,2319.951,1374.949,1978.960,1595.538,1299.680,1420.754,1114.409,1298.446,1497.588,2398.639,2596.664,2371.931,1886.182,1625.441,1413.895,1292.436,1700.597,3135.444,1524.167,1951.679,1885.115,1762.790,1476.137,1085.044,1156.048,1199.235,1104.113,1057.289,1231.141,1003.833,933.927,1092.037,912.035,1173.696,4485.204,1787.040
4906,665.412,1761.361,1640.950,1197.844,3319.576,2862.069,2306.282,1370.564,1965.352,1606.423,1300.744,1422.034,1109.457,1292.063,1508.406,2383.653,2598.552,2399.106,1894.646,1630.583,1414.193,1291.903,1698.865,3138.058,1542.577,1946.610,1896.863,1755.779,1474.637,1086.330,1155.681,1197.758,1099.161,1058.874,1243.363,1006.445,937.030,1079.555,908.257,1179.322,4476.300,1791.150
4907,661.671,1752.241,1639.388,1191.636,3326.867,2866.058,2318.354,1362.736,1963.585,1603.771,1300.289,1419.370,1107.313,1296.768,1496.838,2405.436,2598.205,2370.373,1894.909,1623.058,1414.048,1287.503,1697.226,3121.663,1561.812,1937.941,1878.159,1752.090,1470.842,1079.972,1154.245,1195.105,1097.273,1058.422,1233.377,1005.388,933.190,1080.238,909.992,1177.319,4477.313,1784.384
4908,668.474,1757.854,1633.725,1196.847,3329.000,2870.646,2319.012,1369.017,1963.362,1603.058,1303.329,1422.584,1111.987,1299.148,1499.882,2381.971,2586.928,2386.669,1898.624,1621.348,1413.930,1295.798,1699.518,3137.058,1578.648,1944.717,1877.565,1756.704,1473.022,1083.214,1151.201,1192.657,1105.275,1061.127,1241.915,1006.239,931.104,1079.299,909.739,1167.871,4463.696,1782.289
4909,662.721,1757.831,1630.218,1197.805,3347.865,2869.331,2314.745,1370.406,1956.726,1610.016,1302.389,1422.732,1111.616,1293.590,1504.705,2397.379,2584.680,2365.854,1904.101,1620.715,1416.892,1291.796,1694.453,3142.754,1590.448,1947.051,1883.374,1751.822,1473.272,1085.159,1156.853,1197.015,1108.262,1064.566,1239.659,1006.324,937.163,1087.523,910.844,1176.506,4489.095,1788.078
