 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64
4481,1066.926,3653.589,4331.809,3971.774,2137.704,3758.385,4473.198,3285.196,4492.395,5803.907,4500.804,4867.925,5085.605,5602.788,3160.552,2947.974,3088.751,3071.394,2720.701,4393.093,3643.366,9898.579,6462.011,3111.355,6571.373,5404.259,4941.145,8079.771,6282.594,2924.062,2968.068,2798.342,3814.771,4620.488,3864.214,5053.680,5606.490,3826.294,3483.093,4644.256,3742.529,2975.205,3622.326,2946.740,3044.800,5760.287,3315.863,3549.917,4189.771,3363.294,3104.627,4624.488,4329.471,8344.158,3274.998,2566.323,3482.775,6438.051,3141.893,3242.880,2997.232,2587.306,6074.857,6062.910
4482,1040.556,3642.201,4382.157,3979.549,2154.020,3781.758,4514.081,3291.804,4488.571,5854.817,4519.724,4902.987,5088.750,5639.810,3166.570,2936.412,3080.314,3082.747,2715.802,4415.276,3641.896,9921.030,6455.541,3117.398,6590.639,5382.825,4946.786,8065.069,6289.144,2939.906,2973.486,2786.866,3823.035,4568.019,3849.084,5068.614,5619.733,3787.359,3465.310,4671.424,3777.056,2994.658,3603.470,2945.539,3040.572,5770.025,3324.614,3539.932,4183.401,3349.508,3120.539,4599.962,4339.825,8435.948,3265.822,2560.139,3503.522,6491.077,3136.818,3267.457,2984.120,2572.414,6115.269,6087.375
4483,1036.056,3607.435,4360.625,3989.710,2141.206,3771.921,4537.080,3274.114,4474.861,5874.595,4536.599,4901.321,5103.886,5610.257,3156.464,2927.407,3090.802,3082.050,2721.950,4383.146,3677.718,9942.049,6467.912,3119.387,6582.568,5418.512,4962.034,8020.095,6301.359,2947.397,2961.038,2793.080,3814.347,4555.319,3857.610,5071.440,5596.092,3791.156,3456.792,4658.202,3777.188,2991.336,3582.444,2947.001,3048.957,5750.768,3333.012,3512.382,4235.061,3371.722,3105.295,4614.458,4362.625,8450.488,3268.565,2555.808,3482.794,6576.403,3123.640,3240.654,2981.960,2593.053,6102.736,6093.810
4484,1022.870,3628.927,4415.471,3972.887,2142.947,3810.720,4551.861,3258.971,4463.445,5854.152,4577.399,4910.126,5086.234,5606.655,3184.557,2932.138,3104.628,3063.697,2725.558,4364.280,3675.073,9920.285,6488.812,3107.526,6577.508,5413.312,4945.872,7989.627,6306.655,2959.654,2974.035,2783.836,3797.229,4455.594,3835.227,5055.722,5651.733,3784.239,3456.215,4694.839,3774.101,2975.798,3607.144,2961.559,3048.404,5726.541,3334.337,3522.974,4221.348,3347.878,3098.034,4587.483,4341.066,8479.185,3256.694,2562.151,3520.237,6566.858,3123.804,3259.023,2990.572,2589.150,6128.693,6077.676
4485,1069.537,3625.675,4445.656,3979.805,2155.113,3789.200,4597.926,3241.725,4475.088,5798.505,4555.167,4921.939,5103.121,5620.515,3193.152,2920.875,3099.596,3075.430,2714.647,4358.740,3663.337,9940.029,6492.651,3097.025,6544.711,5395.418,4980.381,7930.136,6303.529,2948.845,2969.376,2780.593,3790.156,4412.925,3852.962,5082.916,5683.399,3812.320,3469.574,4690.583,3755.100,2995.267,3593.348,2941.952,3046.813,5731.313,3325.912,3508.589,4225.146,3370.394,3126.163,4589.139,4317.646,8512.777,3238.585,2564.795,3513.940,6593.532,3128.972,3230.122,3005.270,2563.402,6125.574,6105.746
4486,996.185,3629.407,4452.782,3978.136,2146.512,3805.384,4633.296,3203.357,4410.403,5799.085,4526.865,4935.652,5100.990,5646.858,3125.044,2929.743,3090.676,3061.631,2701.858,4304.228,3674.212,9905.794,6479.733,3092.508,6511.003,5417.924,4945.265,7856.859,6267.250,2955.807,2950.194,2771.702,3796.439,4367.008,3837.505,5070.282,5574.372,3785.527,3437.971,4639.784,3769.189,2985.344,3604.553,2934.067,3009.495,5679.624,3323.573,3503.648,4190.072,3352.657,3096.568,4601.460,4350.974,8492.889,3244.368,2564.918,3501.668,6634.498,3122.527,3270.491,2965.219,2555.604,6152.515,6089.630
4487,1073.796,3607.379,4482.967,3977.380,2152.922,3792.349,4661.943,3211.475,4426.573,5785.364,4490.031,4934.477,5128.151,5605.693,3146.627,2912.694,3083.300,3073.756,2700.417,4299.271,3662.355,9884.487,6481.091,3097.183,6520.393,5395.075,4935.653,7805.467,6266.252,2934.172,2959.484,2765.125,3784.608,4297.338,3827.124,5083.872,5613.457,3780.992,3457.206,4659.190,3777.627,2993.317,3580.516,2925.159,3022.722,5663.710,3323.994,3505.635,4193.773,3339.748,3096.668,4581.333,4333.208,8529.056,3249.620,2555.819,3501.369,6628.395,3129.843,3285.486,2970.753,2586.909,6173.004,6096.877
4488,1039.352,3609.989,4488.109,3972.719,2163.274,3774.907,4687.381,3188.812,4438.814,5805.083,4520.085,4948.733,5130.693,5645.329,3146.640,2925.097,3091.816,3060.081,2704.270,4318.533,3667.775,9903.847,6460.984,3097.583,6487.340,5434.859,4946.094,7757.269,6256.085,2922.078,2968.239,2778.448,3818.135,4282.773,3842.088,5056.820,5630.952,3780.797,3459.172,4657.785,3764.177,3006.340,3583.491,2957.438,3018.218,5681.064,3341.146,3490.625,4208.563,3358.219,3102.147,4643.156,4350.887,8541.349,3244.539,2546.222,3509.480,6672.137,3127.579,3264.520,2961.857,2579.223,6196.775,6084.913
4489,1061.389,3603.424,4494.262,3964.900,2168.128,3784.915,4675.408,3179.705,4388.673,5773.731,4525.492,4946.616,5075.092,5633.804,3206.292,2906.968,3095.735,3058.901,2701.550,4253.039,3624.344,9918.793,6437.316,3086.299,6479.159,5450.675,4969.227,7725.567,6332.236,2915.445,2953.923,2781.146,3801.578,4231.223,3830.766,5075.005,5648.078,3775.558,3460.090,4660.924,3777.944,3010.535,3595.030,2953.447,3016.276,5663.356,3341.549,3502.625,4180.642,3341.386,3128.054,4610.095,4325.108,8609.950,3244.398,2557.441,3516.610,6703.708,3097.198,3234.640,2972.456,2585.521,6184.620,6101.318
4490,1022.833,3623.872,4521.651,3980.031,2179.191,3803.620,4722.346,3193.503,4410.406,5781.178,4510.106,4954.479,5111.553,5640.578,3186.577,2914.124,3089.217,3059.840,2686.369,4247.549,3660.404,9907.911,6502.756,3096.336,6441.056,5438.080,4991.834,7698.772,6314.101,2935.332,2979.738,2769.460,3795.547,4218.629,3858.379,5096.596,5637.547,3757.725,3443.591,4656.203,3786.172,2989.123,3589.947,2952.802,3025.688,5693.741,3350.117,3501.244,4196.840,3336.271,3140.171,4610.602,4320.349,8643.113,3249.826,2548.809,3543.288,6753.807,3125.925,3280.934,2960.764,2574.213,6220.649,6113.332
