 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30
6232,1105.907,3544.703,3659.806,2814.124,2399.804,1766.724,3140.033,2409.276,1894.630,3022.352,1871.107,2408.847,1883.214,2430.501,1695.161,2162.515,1659.976,1960.962,2291.533,2843.959,5795.061,2440.270,2637.148,2157.797,2177.931,2820.122,2177.140,1819.933,1697.665,2986.044
6233,1112.194,3549.615,3739.626,2821.471,2415.952,1759.876,3144.688,2432.634,1887.223,3032.037,1886.034,2663.208,1874.236,2433.606,1680.794,2156.659,1652.737,1940.840,2312.221,2872.804,5829.165,2443.766,2663.049,2166.997,2208.266,2837.908,2183.399,1799.055,1685.031,2977.162
6234,1133.898,3557.898,3824.614,2792.788,2426.616,1753.680,3140.326,2412.306,1876.740,3041.067,1887.667,3043.836,1871.040,2446.963,1691.997,2138.384,1620.737,1914.851,2280.134,2936.829,5768.361,2420.098,2658.313,2238.999,2172.857,2821.215,2172.980,1812.605,1686.939,2985.057
6235,1109.417,3548.890,3888.351,2808.844,2418.543,1771.427,3156.321,2429.184,1893.712,3029.923,1871.156,3382.363,1878.203,2462.154,1700.733,2176.133,1647.443,1914.962,2321.126,3003.480,5676.583,2453.634,2675.707,2304.829,2182.037,2823.993,2172.629,1814.030,1674.405,2948.668
6236,1126.042,3536.884,3973.071,2832.224,2422.610,1787.554,3180.382,2436.598,1892.300,3059.264,1871.578,3680.443,1883.049,2461.885,1703.686,2158.176,1661.781,1919.910,2327.435,3015.907,5606.391,2534.155,2663.847,2379.317,2197.932,2855.243,2180.870,1801.802,1690.769,2934.374
6237,1116.296,3541.637,3994.812,2811.236,2437.109,1753.808,3168.458,2451.710,1887.423,3072.444,1879.417,3796.845,1887.707,2457.990,1690.832,2169.755,1649.480,1942.977,2317.633,3068.267,5546.987,2638.167,2682.014,2439.012,2206.490,2851.405,2185.653,1813.483,1685.079,2936.865
6238,1127.042,3558.201,4057.837,2797.427,2417.149,1753.961,3202.723,2426.021,1870.730,3069.481,1906.607,3863.453,1880.638,2431.814,1713.545,2155.700,1632.077,1921.983,2308.507,3097.771,5459.290,2757.228,2656.549,2510.810,2148.351,2834.775,2182.176,1794.725,1693.789,2945.313
6239,1125.463,3510.108,4147.482,2795.530,2421.289,1747.914,3174.631,2426.690,1857.342,3056.219,1877.268,3890.199,1865.622,2426.951,1699.794,2161.631,1622.666,1892.612,2354.421,3092.318,5339.946,2945.082,2653.482,2596.559,2201.390,2817.108,2185.333,1796.831,1681.849,2916.843
6240,1109.324,3538.831,4427.904,2794.211,2408.228,1755.998,3205.833,2447.854,1875.217,3054.889,1885.141,3855.290,1874.873,2419.002,1705.232,2160.647,1675.534,1908.799,2473.479,3092.340,5153.065,3130.207,2646.103,2646.809,2190.759,2816.074,2180.754,1819.832,1676.793,2944.629
6241,1112.769,3547.637,4664.014,2796.491,2416.116,1775.444,3225.397,2448.544,1862.930,3057.794,1882.271,3807.246,1881.225,2451.780,1703.469,2171.395,1657.355,1932.822,2666.399,3140.594,5044.384,3330.887,2667.348,2720.042,2198.031,2842.267,2170.650,1824.268,1684.424,2935.335
