 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58
2085,1295.682,3287.334,3229.954,3107.708,3360.333,3962.002,3365.614,4157.054,2801.751,2854.045,4113.789,3290.545,3697.444,2247.310,2381.936,2518.570,2587.073,2709.474,2637.516,2474.065,2890.073,4017.659,4512.622,3184.979,2281.019,3659.540,2523.285,4176.004,2531.898,3592.752,2196.895,2912.428,2082.505,3698.102,2919.096,2596.591,2795.914,2092.078,2938.558,2358.965,2680.099,3155.936,4499.722,2453.502,3556.118,3432.770,2657.616,1978.741,1413.994,2995.222,2729.450,3565.143,3194.967,3588.473,2129.552,4175.892,2564.638,1673.043
2086,1285.238,3278.055,3250.313,3091.014,3388.327,3954.677,3384.381,4148.565,2803.494,2851.760,4128.544,3257.314,3704.115,2231.002,2408.910,2508.071,2586.954,2698.369,2641.694,2483.123,2885.426,3968.816,4501.468,3169.845,2291.509,3652.310,2536.395,4234.929,2557.455,3617.911,2214.387,2922.670,2094.835,3707.516,2926.810,2587.858,2804.693,2113.737,2966.361,2372.469,2682.452,3141.519,4495.885,2471.335,3594.314,3460.537,2649.298,1965.799,1401.015,2986.566,2699.384,3526.206,3245.463,3547.615,2127.790,4166.898,2568.004,1681.137
2087,1274.048,3287.410,3220.564,3100.176,3383.687,3978.895,3387.103,4132.537,2837.252,2856.186,4133.422,3291.487,3719.765,2250.621,2395.519,2489.346,2609.351,2705.023,2669.230,2493.766,2884.869,3969.767,4531.898,3172.116,2291.401,3656.232,2551.894,4226.025,2535.737,3607.023,2184.339,2923.480,2072.046,3680.497,2959.183,2600.192,2792.891,2119.855,2925.732,2377.215,2690.203,3155.948,4534.353,2438.171,3587.934,3441.898,2654.906,1965.890,1393.605,3016.967,2702.016,3511.572,3195.280,3554.615,2129.706,4184.354,2561.277,1665.599
2088,1293.730,3292.308,3231.013,3111.399,3373.944,3986.820,3364.849,4126.321,2814.014,2857.152,4121.500,3283.772,3725.404,2267.225,2385.194,2512.046,2592.894,2705.860,2672.085,2503.448,2886.119,3966.339,4517.621,3172.132,2282.027,3637.680,2567.249,4231.119,2535.978,3622.678,2186.980,2932.558,2099.392,3713.835,2936.060,2588.556,2806.414,2094.555,2987.438,2340.806,2684.388,3163.979,4538.608,2477.008,3590.138,3474.529,2667.464,1990.849,1405.267,2992.630,2740.920,3546.649,3259.349,3552.027,2127.308,4214.000,2568.952,1667.499
2089,1278.778,3314.034,3231.732,3101.679,3367.666,3987.556,3358.284,4137.436,2821.047,2852.993,4112.129,3289.432,3713.995,2275.908,2388.490,2519.211,2576.021,2717.353,2679.992,2517.996,2898.215,3927.148,4527.991,3156.218,2263.873,3693.912,2548.105,4201.768,2558.573,3603.000,2187.172,2930.497,2105.698,3730.281,2928.195,2628.306,2807.050,2109.725,2964.251,2350.473,2690.527,3153.677,4508.877,2456.592,3575.094,3456.793,2661.178,2003.233,1425.073,3000.769,2731.525,3534.863,3222.409,3549.737,2134.389,4202.000,2583.505,1675.915
2090,1269.603,3292.718,3255.890,3085.272,3361.130,3954.207,3327.633,4125.084,2801.703,2852.693,4102.102,3260.063,3695.065,2249.852,2401.035,2490.134,2592.389,2700.420,2678.122,2483.166,2884.518,3937.368,4497.466,3156.571,2281.613,3638.000,2551.616,4195.596,2532.097,3590.982,2187.018,2895.859,2059.811,3687.525,2931.702,2622.667,2799.187,2110.630,2954.412,2371.574,2672.315,3123.756,4495.324,2481.482,3572.744,3480.942,2641.377,1974.553,1410.247,2987.718,2734.422,3556.923,3247.699,3562.730,2121.412,4185.337,2575.326,1666.636
2091,1331.905,3294.456,3249.831,3112.858,3392.520,3933.182,3345.608,4111.801,2834.339,2869.486,4106.529,3264.540,3705.774,2256.795,2391.098,2525.177,2573.725,2702.008,2680.201,2490.045,2885.126,3905.296,4517.816,3159.714,2291.851,3661.906,2539.645,4223.107,2545.783,3596.114,2202.429,2917.472,2066.979,3711.245,2930.866,2631.365,2804.849,2117.978,2963.416,2357.569,2680.073,3174.471,4502.399,2497.980,3541.806,3508.979,2650.543,1981.841,1424.634,3017.216,2721.158,3551.451,3229.108,3524.419,2145.235,4199.084,2562.863,1682.023
2092,1291.318,3279.666,3249.803,3096.240,3367.999,3974.205,3360.773,4159.085,2823.576,2862.534,4103.018,3289.994,3713.658,2262.935,2383.316,2520.021,2586.970,2698.111,2697.346,2480.682,2887.184,3879.594,4537.672,3177.349,2279.392,3656.787,2573.589,4215.076,2526.673,3614.065,2202.274,2906.466,2086.416,3700.584,2949.691,2630.480,2798.086,2099.236,2959.708,2364.789,2659.814,3130.129,4518.340,2495.580,3539.723,3497.053,2664.696,1983.708,1421.398,3014.885,2751.884,3559.020,3227.158,3555.341,2161.636,4182.387,2592.646,1674.641
2093,1296.222,3285.392,3251.132,3098.537,3357.268,3978.772,3362.788,4157.720,2835.642,2857.666,4080.700,3316.192,3702.907,2254.446,2373.168,2515.258,2573.594,2686.955,2683.679,2490.004,2898.832,3869.611,4516.420,3173.579,2296.090,3648.406,2566.869,4233.941,2531.553,3590.620,2189.052,2897.226,2067.643,3696.615,2912.356,2643.251,2802.280,2124.786,2948.844,2376.042,2659.452,3139.872,4545.104,2500.906,3543.183,3500.296,2661.871,1975.387,1416.410,3037.586,2711.589,3548.917,3217.981,3522.135,2138.412,4191.489,2572.144,1671.039
2094,1274.254,3278.426,3275.589,3075.462,3377.552,3988.697,3346.133,4161.055,2830.205,2862.386,4087.020,3290.463,3709.578,2259.368,2392.276,2501.774,2571.200,2704.312,2695.559,2488.221,2893.517,3840.873,4516.394,3175.548,2294.786,3639.984,2547.258,4237.042,2541.325,3594.023,2182.352,2924.057,2060.649,3689.001,2931.830,2654.714,2810.755,2116.423,2929.941,2398.729,2676.313,3149.377,4511.609,2482.070,3532.991,3463.930,2648.569,1981.768,1416.201,3037.428,2735.229,3518.586,3229.326,3563.929,2150.045,4210.615,2552.318,1672.719
2095,1271.730,3270.970,3232.095,3081.935,3361.891,3966.677,3360.299,4127.085,2846.397,2866.625,4093.569,3249.627,3704.382,2249.425,2378.362,2499.877,2557.589,2692.158,2705.762,2460.251,2899.142,3796.248,4482.391,3147.148,2286.240,3647.798,2557.087,4266.291,2546.700,3610.901,2178.425,2910.490,2064.842,3719.674,2910.333,2639.331,2809.791,2121.509,2955.775,2387.199,2677.406,3128.128,4531.645,2485.689,3554.575,3483.782,2679.266,1977.175,1432.605,3036.105,2760.653,3541.926,3209.477,3526.672,2165.316,4174.708,2561.470,1671.304
2096,1263.302,3292.184,3231.740,3088.598,3375.204,3974.645,3337.758,4162.595,2860.917,2876.232,4080.858,3267.032,3700.683,2264.171,2360.128,2508.624,2580.717,2707.134,2711.712,2471.108,2907.865,3811.146,4516.568,3164.110,2271.121,3662.971,2548.004,4248.323,2550.302,3599.097,2188.076,2905.603,2075.691,3692.543,2939.244,2656.949,2823.242,2117.215,2921.667,2411.298,2665.528,3164.868,4545.413,2506.090,3541.586,3502.689,2666.436,1965.674,1437.273,3051.157,2764.352,3528.654,3231.944,3513.939,2235.445,4185.884,2573.092,1673.178
2097,1258.794,3265.495,3222.750,3070.784,3350.457,3998.599,3340.158,4132.604,2827.157,2880.173,4065.127,3272.026,3689.092,2225.696,2376.899,2505.511,2583.961,2689.985,2699.072,2459.160,2894.095,3760.566,4494.205,3187.622,2285.781,3679.704,2551.960,4239.609,2557.987,3596.555,2186.670,2914.515,2074.462,3697.679,2923.103,2646.269,2808.384,2120.273,2961.365,2410.106,2673.859,3144.515,4558.579,2476.778,3524.835,3478.228,2658.341,1975.999,1415.483,3025.887,2741.208,3492.343,3232.297,3503.672,2226.661,4213.112,2562.790,1664.995
2098,1297.921,3285.367,3216.160,3066.956,3363.437,3953.476,3348.741,4129.786,2831.035,2870.732,4097.861,3263.083,3701.990,2260.484,2379.850,2506.657,2584.896,2684.118,2684.708,2493.184,2900.911,3717.175,4498.197,3166.113,2264.182,3681.133,2560.264,4255.487,2543.139,3597.624,2205.033,2908.788,2069.976,3712.063,2916.571,2651.286,2800.412,2130.373,2990.738,2380.525,2651.021,3146.245,4542.099,2464.634,3548.122,3512.612,2655.777,1978.199,1407.517,3022.027,2769.288,3547.300,3236.465,3557.263,2224.583,4184.208,2588.996,1675.366
2099,1249.857,3267.410,3208.698,3043.840,3346.928,3950.576,3340.403,4156.259,2826.984,2862.007,4081.750,3258.844,3692.900,2240.411,2369.271,2494.204,2605.148,2686.996,2702.164,2466.500,2902.472,3699.449,4496.824,3182.836,2283.895,3717.138,2538.805,4257.226,2532.455,3601.347,2207.780,2926.892,2066.816,3717.740,2944.575,2656.547,2821.689,2124.346,2957.392,2397.379,2670.651,3136.748,4545.471,2483.405,3527.153,3491.857,2666.966,1975.670,1429.613,3039.922,2783.676,3510.249,3260.311,3554.294,2240.350,4198.852,2577.944,1677.677
2100,1276.333,3286.437,3210.484,3055.902,3363.114,3969.832,3364.556,4156.174,2841.962,2869.503,4087.362,3277.929,3741.406,2247.475,2379.432,2512.522,2599.500,2696.851,2684.021,2494.902,2920.526,3672.692,4480.925,3198.514,2305.981,3724.396,2552.484,4243.307,2556.423,3611.684,2220.675,2917.275,2056.863,3712.755,2955.852,2669.874,2831.203,2133.055,2980.752,2406.426,2674.296,3180.349,4546.660,2504.311,3525.826,3523.680,2666.238,1979.592,1415.547,3023.667,2797.754,3524.866,3230.631,3565.672,2279.179,4280.611,2587.491,1671.373
2101,1295.492,3273.062,3217.809,3056.999,3359.428,3957.813,3363.287,4159.557,2826.817,2871.718,4067.535,3255.657,3730.136,2237.234,2371.781,2511.459,2578.318,2680.148,2674.586,2471.220,2906.709,3620.621,4504.121,3167.875,2311.141,3750.853,2533.262,4238.292,2554.489,3602.925,2182.329,2911.629,2034.605,3696.147,2949.266,2671.278,2830.302,2107.416,2946.825,2411.789,2650.823,3162.275,4575.080,2490.198,3546.129,3515.855,2667.042,1981.099,1413.965,3014.741,2812.996,3505.363,3224.276,3539.304,2226.658,4265.623,2580.705,1668.755
2102,1311.159,3262.355,3185.298,3030.993,3353.800,3980.604,3353.688,4139.693,2833.608,2861.401,4081.631,3267.144,3726.501,2245.553,2367.169,2487.568,2598.359,2685.717,2647.338,2496.572,2905.584,3613.181,4450.968,3161.977,2263.713,3689.105,2537.292,4253.142,2530.516,3604.006,2185.929,2905.825,2058.455,3698.388,2920.320,2643.636,2836.199,2107.288,2959.783,2390.609,2669.243,3153.187,4538.147,2484.218,3523.077,3509.768,2663.991,1981.849,1403.669,3022.123,2845.714,3507.454,3215.919,3514.166,2188.826,4239.711,2549.667,1668.648
2103,1275.841,3265.854,3197.270,3024.037,3343.268,3914.704,3362.187,4147.056,2836.289,2862.241,4055.986,3259.588,3732.861,2254.396,2371.294,2493.507,2608.292,2681.205,2663.157,2465.239,2919.346,3573.490,4477.856,3161.413,2283.952,3719.720,2519.455,4257.223,2537.612,3593.935,2181.265,2925.763,2043.180,3701.137,2952.944,2657.670,2836.719,2126.752,2949.870,2385.688,2652.835,3163.838,4564.797,2469.292,3541.468,3546.701,2651.317,1983.859,1430.273,3044.461,2834.553,3483.140,3235.626,3526.419,2215.101,4211.371,2582.769,1675.844
2104,1307.540,3277.806,3203.842,3026.907,3356.507,3928.512,3362.521,4133.381,2835.278,2872.573,4077.198,3293.288,3749.800,2252.986,2383.025,2505.481,2612.233,2687.137,2679.281,2474.660,2904.095,3552.381,4478.102,3153.669,2272.044,3701.900,2543.367,4271.497,2545.870,3605.725,2183.258,2907.580,2070.117,3728.785,2914.398,2712.281,2854.907,2126.179,2925.822,2390.124,2666.182,3180.954,4544.164,2469.335,3561.009,3530.885,2662.479,1967.977,1419.436,3060.963,2817.888,3466.386,3246.568,3530.608,2219.585,4232.884,2569.503,1684.071
