 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34
18,676.584,1838.548,1341.155,1625.782,1683.775,1540.880,1344.705,1848.945,1348.555,1703.422,1686.975,1909.750,1617.412,1491.133,1909.822,1303.464,1414.081,1668.635,1414.759,1707.760,1178.209,1815.841,1109.389,2189.637,1405.407,1339.632,2561.945,1702.597,1672.156,1750.428,1736.905,2173.959,1532.508,2237.161
19,671.900,1830.471,1344.174,1632.431,1681.675,1539.517,1339.970,1831.347,1354.810,1701.618,1671.751,1911.649,1617.786,1486.757,1914.239,1303.949,1410.448,1669.272,1424.740,1696.865,1171.583,1808.041,1109.443,2178.152,1406.327,1349.024,2557.463,1698.189,1676.767,1759.112,1749.497,2186.579,1543.459,2263.687
20,668.310,1821.707,1338.764,1613.775,1677.984,1537.144,1343.874,1827.012,1349.233,1698.813,1676.758,1900.686,1617.029,1480.057,1904.454,1291.066,1407.536,1660.598,1425.182,1713.229,1173.544,1814.031,1106.542,2182.324,1403.666,1339.803,2558.975,1684.600,1675.716,1763.776,1730.034,2177.335,1522.171,2258.974
21,675.114,1844.425,1345.871,1621.913,1692.513,1543.190,1344.112,1842.937,1353.936,1698.935,1678.567,1909.342,1618.167,1486.564,1912.864,1297.731,1419.308,1673.842,1436.769,1708.609,1173.039,1823.465,1109.680,2179.478,1411.755,1340.671,2552.319,1709.495,1677.760,1760.821,1745.587,2191.888,1530.020,2252.814
22,672.617,1840.313,1346.529,1622.789,1685.016,1544.852,1346.100,1849.899,1353.496,1705.726,1692.593,1906.011,1629.048,1485.488,1902.123,1303.431,1411.873,1679.866,1431.890,1713.681,1174.496,1828.135,1113.395,2188.345,1404.189,1343.107,2555.473,1711.931,1685.732,1761.492,1741.702,2190.418,1527.175,2269.670
23,669.164,1836.920,1346.062,1625.260,1687.090,1539.177,1340.480,1846.591,1346.568,1696.742,1681.283,1902.592,1620.477,1482.795,1904.418,1306.192,1413.831,1675.224,1434.379,1716.578,1172.527,1814.600,1109.973,2186.939,1410.799,1342.993,2553.300,1704.090,1681.110,1749.072,1741.428,2175.208,1534.387,2278.439
24,671.070,1833.583,1339.704,1627.759,1687.477,1540.033,1342.100,1840.135,1349.960,1692.209,1692.706,1902.182,1616.696,1481.920,1913.179,1299.328,1405.402,1668.174,1434.020,1713.872,1171.042,1818.815,1110.548,2179.213,1407.170,1337.131,2537.872,1706.990,1673.700,1755.038,1742.278,2185.498,1522.819,2261.916
25,674.536,1835.773,1344.787,1621.383,1689.632,1557.572,1346.778,1834.841,1356.579,1704.222,1691.988,1914.070,1626.799,1479.484,1907.552,1305.330,1411.430,1660.576,1441.793,1716.956,1174.142,1828.057,1114.100,2183.748,1411.723,1344.540,2561.987,1711.798,1680.124,1760.258,1752.116,2181.727,1540.826,2268.988
26,673.560,1838.161,1345.161,1629.094,1693.980,1535.677,1342.703,1848.555,1354.523,1704.563,1698.725,1905.121,1623.062,1480.088,1907.358,1300.345,1414.045,1683.111,1443.174,1722.884,1176.644,1820.070,1114.454,2190.010,1416.845,1344.734,2551.698,1711.378,1679.499,1756.398,1750.100,2198.775,1524.460,2278.880
27,670.611,1851.227,1337.352,1614.659,1688.395,1542.313,1346.651,1852.034,1354.479,1703.076,1689.916,1903.819,1621.877,1476.097,1911.049,1304.271,1412.648,1661.539,1437.167,1721.337,1172.646,1820.618,1108.606,2187.866,1407.940,1336.205,2556.590,1710.338,1682.038,1762.486,1758.448,2184.602,1524.669,2252.537
