 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14
46,731.542,1639.090,1398.558,1238.493,887.736,1101.429,1035.047,916.973,1191.285,1554.497,1910.804,1222.990,1479.813,1047.973
47,722.706,1637.712,1397.813,1237.582,888.856,1098.723,1037.456,916.033,1194.927,1556.180,1911.704,1225.153,1478.250,1053.859
48,729.650,1645.395,1401.416,1240.197,889.061,1099.423,1036.932,918.447,1195.929,1554.298,1906.273,1219.805,1484.733,1047.156
49,735.512,1648.004,1399.155,1238.217,890.653,1100.233,1036.813,917.652,1198.865,1556.756,1898.385,1225.844,1482.760,1047.952
50,725.137,1645.195,1401.415,1236.204,888.151,1099.261,1034.823,916.333,1198.432,1556.065,1887.947,1216.216,1485.087,1040.561
51,731.939,1639.068,1402.206,1233.054,886.740,1097.639,1036.049,915.959,1200.360,1553.265,1877.370,1222.218,1485.528,1046.328
52,726.525,1649.483,1402.596,1240.167,894.487,1106.712,1042.415,923.149,1205.910,1564.131,1873.267,1230.150,1487.249,1049.074
53,718.140,1643.905,1399.073,1236.288,886.844,1098.153,1033.235,917.932,1203.477,1549.144,1855.826,1218.351,1487.203,1051.480
54,720.708,1645.356,1398.132,1237.847,889.955,1098.799,1035.985,919.344,1205.679,1553.185,1839.718,1223.079,1484.824,1047.798
55,721.257,1644.821,1402.999,1237.599,884.401,1097.232,1037.849,917.102,1204.553,1554.131,1830.970,1220.969,1484.658,1038.688
56,725.799,1648.926,1401.935,1241.286,891.232,1102.807,1043.735,922.190,1211.584,1563.044,1824.602,1225.743,1486.860,1045.516
57,725.551,1650.058,1401.706,1238.383,889.744,1098.472,1038.658,919.922,1207.160,1560.697,1818.094,1225.525,1483.420,1044.346
58,727.140,1649.867,1402.239,1239.016,889.558,1098.449,1039.800,920.734,1210.418,1557.014,1802.966,1219.521,1480.752,1040.291
59,730.647,1645.759,1403.542,1237.483,889.238,1097.555,1036.440,920.928,1211.679,1557.058,1787.900,1223.310,1478.666,1035.627
60,734.444,1642.459,1402.110,1243.016,890.527,1099.303,1045.973,919.835,1211.701,1553.856,1771.858,1228.363,1493.475,1041.235
61,732.632,1641.363,1400.756,1238.480,888.186,1098.861,1039.720,918.465,1212.840,1557.348,1758.507,1223.193,1487.468,1037.123
62,730.632,1642.170,1401.331,1237.471,886.977,1095.764,1038.896,918.727,1209.174,1550.933,1759.855,1222.319,1482.698,1038.603
