 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18
6152,733.361,1057.599,1194.776,956.104,1316.832,1387.428,1473.868,1346.157,1247.196,1384.862,1231.722,1011.878,1040.085,849.518,860.136,899.080,908.441,1276.038
6153,749.740,1066.109,1195.767,960.751,1317.615,1390.958,1475.171,1349.713,1256.501,1379.774,1233.048,1013.662,1035.228,851.954,863.680,901.583,909.398,1281.820
6154,741.327,1064.163,1196.805,961.754,1314.310,1390.653,1475.431,1346.600,1256.239,1388.453,1235.817,1023.116,1037.582,853.384,865.337,903.931,904.792,1281.214
6155,738.342,1065.821,1195.078,960.311,1310.968,1391.285,1477.197,1351.853,1253.955,1390.960,1235.412,1020.773,1037.554,852.824,863.127,905.733,908.273,1279.209
6156,737.265,1072.335,1202.903,965.588,1320.604,1394.092,1485.193,1358.077,1259.477,1403.620,1244.448,1026.514,1040.433,858.237,871.109,913.696,914.283,1285.510
6157,745.536,1065.583,1195.390,960.549,1317.972,1387.290,1474.526,1350.217,1252.752,1390.840,1237.748,1023.501,1037.970,851.164,866.265,911.448,907.575,1279.063
6158,744.207,1067.207,1199.359,961.807,1313.570,1384.295,1477.837,1349.855,1255.943,1397.404,1238.515,1027.026,1043.096,854.848,868.641,911.155,910.095,1283.075
6159,738.561,1069.067,1197.767,959.977,1310.515,1385.397,1474.036,1346.853,1252.655,1399.313,1239.445,1025.321,1039.684,850.624,866.867,909.756,908.980,1281.760
6160,742.293,1069.582,1201.424,960.681,1316.251,1386.138,1473.268,1353.132,1250.099,1407.711,1237.851,1024.527,1042.611,854.158,866.758,911.629,907.474,1282.668
6161,733.379,1065.835,1195.102,955.971,1311.854,1379.830,1474.744,1350.299,1252.213,1398.793,1232.255,1023.926,1040.667,849.025,862.419,911.240,904.391,1280.633
6162,747.332,1074.183,1204.576,963.544,1318.962,1384.665,1478.764,1355.103,1256.764,1405.373,1239.435,1028.170,1043.854,854.007,872.508,915.946,909.808,1287.470
6163,744.723,1068.175,1197.273,959.297,1308.110,1373.923,1474.499,1348.973,1249.791,1399.975,1234.504,1023.250,1042.259,848.149,865.081,914.164,909.532,1278.946
6164,736.129,1070.893,1201.686,958.896,1314.270,1380.070,1472.514,1347.883,1251.944,1405.724,1231.595,1026.050,1039.396,848.057,867.660,916.132,905.006,1283.333
6165,743.190,1072.643,1204.061,960.036,1317.309,1376.192,1474.390,1354.790,1251.043,1416.296,1232.992,1031.536,1041.680,851.983,871.031,918.172,908.527,1281.255
6166,738.781,1074.347,1204.374,963.930,1321.215,1376.401,1475.172,1355.968,1253.256,1410.013,1237.007,1029.168,1042.361,852.676,870.582,918.959,908.766,1285.591
6167,741.884,1069.785,1199.910,955.227,1310.031,1375.565,1474.693,1352.196,1250.543,1407.591,1232.747,1028.656,1043.630,849.246,866.903,914.957,903.876,1279.415
6168,741.447,1068.994,1199.148,956.986,1318.454,1371.656,1473.170,1355.175,1252.930,1408.436,1237.240,1029.000,1042.900,848.448,869.496,918.253,902.250,1279.694
6169,729.957,1069.855,1195.208,954.926,1308.202,1371.277,1469.289,1349.069,1251.601,1414.950,1232.579,1027.065,1049.527,847.226,867.507,916.252,900.752,1273.272
6170,737.469,1070.878,1198.385,958.078,1313.782,1368.764,1468.191,1351.298,1249.025,1416.515,1230.938,1025.370,1045.669,849.315,868.529,918.077,899.902,1276.090
6171,739.645,1072.954,1197.503,959.870,1315.384,1371.115,1471.728,1351.830,1247.184,1430.018,1237.349,1029.475,1046.024,849.314,869.369,918.366,902.968,1278.440
6172,742.937,1069.182,1196.858,957.088,1311.352,1364.170,1469.884,1352.844,1245.223,1418.601,1234.168,1024.540,1043.001,846.984,869.644,919.663,903.183,1276.264
6173,748.228,1072.826,1201.902,956.504,1313.679,1364.952,1466.736,1348.288,1250.428,1423.692,1239.771,1028.180,1050.286,846.094,868.150,918.572,901.138,1279.458
6174,736.937,1069.878,1191.963,955.069,1308.524,1363.392,1465.223,1349.113,1249.875,1421.663,1235.490,1028.853,1044.854,845.851,867.735,919.311,898.294,1274.681
6175,737.687,1067.582,1198.047,955.308,1311.723,1361.810,1463.984,1344.889,1249.972,1420.749,1235.344,1025.984,1046.268,846.196,866.164,920.549,900.581,1272.949
6176,740.742,1073.094,1203.035,958.685,1314.581,1369.138,1470.742,1356.014,1254.823,1430.619,1241.325,1031.972,1051.499,852.747,874.713,927.481,903.150,1280.014
6177,737.444,1073.444,1203.995,957.795,1308.330,1363.335,1466.330,1355.464,1253.635,1428.955,1236.320,1030.576,1048.611,846.041,870.121,922.566,902.169,1273.066
6178,736.636,1074.174,1201.862,955.339,1315.226,1365.109,1464.447,1352.254,1249.454,1433.083,1234.917,1028.619,1047.205,846.272,868.494,923.162,899.894,1272.279
6179,737.002,1070.205,1198.604,955.345,1314.414,1360.537,1466.896,1350.122,1248.229,1432.454,1233.480,1031.610,1043.028,846.190,869.997,921.066,899.212,1272.713
6180,742.474,1076.602,1210.987,960.670,1318.777,1367.755,1469.910,1363.127,1258.653,1443.621,1243.800,1037.114,1055.210,850.335,875.522,930.332,904.597,1279.534
