 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41
1004,776.128,1826.672,1863.259,2006.993,2250.910,1862.149,1986.200,2025.430,2122.193,1684.366,2489.498,2585.764,1342.337,1847.323,1800.781,1827.872,1862.004,1941.220,1848.132,1480.475,1476.587,1409.125,1456.785,1958.459,1465.736,2188.378,2202.688,2119.512,1820.142,1688.046,1897.441,1984.108,1370.918,1662.404,1734.605,1686.364,2298.362,1797.110,2073.628,3109.469,2713.700
1005,775.548,1834.885,1869.642,2020.504,2268.336,1854.817,1989.162,2029.474,2131.362,1692.844,2497.558,2604.256,1345.388,1848.099,1808.443,1820.876,1868.526,1946.965,1843.986,1474.394,1480.651,1423.564,1449.298,1961.556,1471.566,2170.492,2212.860,2115.060,1803.066,1689.357,1886.958,2003.608,1367.676,1661.288,1736.826,1668.837,2307.210,1811.011,2086.579,3097.819,2727.945
1006,775.200,1825.789,1859.714,2021.452,2253.479,1851.797,1982.660,2031.593,2128.185,1688.535,2494.412,2591.876,1347.689,1848.523,1813.743,1826.638,1862.148,1937.416,1851.694,1469.913,1469.875,1410.932,1446.262,1953.820,1468.385,2176.104,2217.853,2120.209,1799.873,1695.881,1892.875,2001.767,1373.369,1666.034,1734.622,1677.644,2319.567,1807.312,2072.209,3098.427,2717.940
1007,773.818,1828.570,1863.618,2023.792,2256.923,1862.714,1987.866,2037.360,2137.355,1695.857,2505.275,2590.625,1358.980,1862.718,1819.427,1829.318,1866.406,1937.231,1846.573,1471.581,1480.127,1424.564,1453.022,1962.184,1477.920,2179.644,2216.892,2124.265,1809.239,1690.180,1910.634,2001.745,1373.433,1669.924,1726.108,1681.536,2304.933,1806.500,2088.093,3099.565,2706.902
1008,771.970,1834.791,1869.968,2012.716,2255.848,1862.294,2000.286,2034.719,2127.031,1693.208,2501.972,2607.935,1351.052,1853.808,1822.531,1822.258,1872.321,1939.020,1860.262,1472.080,1480.604,1417.717,1452.547,1966.989,1470.361,2178.163,2223.304,2113.632,1803.036,1688.231,1903.503,2001.701,1379.426,1667.904,1735.320,1674.851,2319.616,1809.665,2059.329,3093.263,2721.308
1009,765.791,1829.799,1866.129,2014.378,2267.854,1857.440,1988.783,2041.367,2129.633,1690.240,2505.555,2608.914,1346.688,1845.853,1810.858,1831.320,1852.977,1951.568,1857.629,1477.138,1478.645,1415.747,1447.544,1957.881,1465.256,2181.395,2228.973,2121.364,1817.581,1694.374,1889.316,1994.379,1372.137,1663.957,1732.727,1683.261,2310.191,1806.944,2071.596,3123.316,2700.084
1010,767.482,1834.247,1862.654,2020.160,2248.652,1857.604,1992.669,2038.725,2132.370,1690.853,2515.159,2591.281,1354.431,1851.894,1811.578,1827.390,1878.968,1938.688,1852.230,1464.010,1477.973,1419.672,1449.847,1962.021,1461.739,2186.537,2232.017,2123.248,1806.961,1694.072,1913.101,1994.172,1371.605,1675.896,1731.872,1683.878,2312.879,1802.422,2063.251,3112.805,2715.075
1011,763.897,1833.581,1859.089,2018.323,2241.199,1860.719,1987.028,2035.944,2123.558,1689.713,2507.686,2595.332,1347.144,1843.788,1816.272,1825.316,1867.054,1956.325,1854.349,1459.117,1488.056,1406.577,1451.639,1953.998,1475.956,2192.424,2229.240,2117.897,1799.098,1680.998,1884.316,1997.739,1371.221,1662.701,1729.961,1681.246,2320.344,1809.998,2078.447,3113.742,2727.623
1012,763.554,1833.279,1859.561,2015.466,2253.924,1858.642,1997.031,2044.034,2131.072,1696.671,2505.125,2604.668,1349.255,1845.620,1811.508,1831.128,1872.708,1946.415,1854.337,1465.529,1482.107,1411.922,1444.272,1963.408,1474.867,2187.847,2238.382,2116.534,1806.610,1699.486,1899.635,1984.775,1370.268,1667.998,1740.211,1668.598,2300.005,1812.358,2078.301,3119.700,2722.611
1013,764.519,1830.296,1859.718,2016.437,2254.192,1864.064,1997.379,2030.947,2128.320,1692.520,2516.728,2595.276,1353.997,1846.956,1817.882,1836.374,1867.313,1946.399,1845.022,1467.469,1482.641,1412.360,1447.821,1955.861,1468.457,2185.548,2238.604,2125.121,1816.902,1673.701,1904.222,2003.288,1370.431,1672.682,1736.071,1670.004,2299.333,1800.154,2066.845,3142.883,2716.197
1014,773.135,1831.044,1865.578,2005.218,2262.741,1857.338,1986.444,2037.756,2113.988,1686.524,2510.841,2595.849,1342.333,1847.660,1811.975,1829.725,1855.342,1947.536,1856.271,1464.635,1476.573,1416.776,1448.787,1951.746,1469.407,2177.544,2243.487,2130.234,1825.810,1681.802,1906.514,1997.736,1368.494,1666.316,1750.081,1664.924,2304.627,1802.413,2071.542,3169.362,2729.165
1015,765.950,1834.230,1861.919,2015.464,2257.844,1861.349,1992.906,2034.726,2122.887,1688.474,2503.411,2600.972,1347.733,1846.351,1821.921,1835.705,1855.870,1966.108,1858.806,1466.460,1478.481,1421.929,1448.510,1964.519,1469.348,2185.060,2254.348,2128.855,1813.661,1708.117,1914.983,1997.469,1367.978,1664.733,1744.697,1677.686,2288.134,1796.372,2088.483,3183.097,2724.257
1016,768.121,1831.619,1862.379,2008.733,2264.110,1860.349,1995.046,2044.507,2118.240,1688.494,2511.628,2587.579,1356.701,1843.426,1812.284,1839.938,1857.458,1964.659,1856.625,1462.937,1485.654,1410.161,1450.049,1954.815,1458.935,2177.516,2242.014,2125.006,1809.102,1691.460,1895.680,1996.777,1364.234,1668.096,1739.975,1683.629,2307.306,1796.712,2104.918,3164.333,2706.891
1017,770.239,1839.456,1866.558,2009.550,2266.260,1861.589,1998.329,2046.789,2133.360,1685.932,2510.680,2600.213,1353.467,1844.447,1830.062,1843.693,1862.669,1956.202,1855.875,1472.038,1479.113,1418.796,1449.468,1962.541,1469.558,2175.180,2245.409,2122.759,1808.849,1685.515,1903.762,1998.834,1367.865,1672.996,1748.617,1668.338,2287.787,1807.706,2087.576,3168.545,2726.930
1018,776.946,1832.370,1867.184,2006.650,2263.779,1867.972,2000.472,2045.139,2126.294,1688.070,2502.585,2593.845,1351.926,1842.089,1823.791,1845.811,1859.305,1952.725,1863.795,1472.237,1485.519,1415.294,1459.563,1958.968,1462.260,2176.046,2249.188,2119.366,1816.227,1700.479,1902.923,1995.764,1372.917,1666.610,1748.255,1670.916,2286.661,1788.102,2087.106,3189.260,2729.220
1019,769.785,1830.366,1863.099,2005.099,2262.779,1864.312,1994.785,2050.974,2117.147,1690.162,2507.218,2592.541,1352.328,1853.359,1821.191,1840.597,1863.501,1954.442,1863.186,1459.804,1488.226,1412.907,1446.122,1957.833,1473.278,2179.171,2250.982,2115.973,1813.564,1695.406,1892.828,1994.496,1370.128,1668.381,1750.254,1670.675,2292.932,1807.431,2074.458,3219.947,2736.891
1020,773.798,1839.200,1863.865,2005.839,2273.133,1871.203,2005.028,2055.954,2125.455,1691.571,2512.089,2598.010,1356.984,1847.985,1830.484,1850.784,1871.812,1944.482,1854.692,1456.601,1490.135,1413.589,1451.659,1964.636,1468.505,2181.959,2257.050,2134.522,1839.006,1696.463,1900.238,2002.054,1364.606,1674.406,1764.396,1676.739,2290.822,1801.983,2088.107,3190.659,2751.777
1021,776.329,1830.568,1862.745,2004.728,2262.514,1863.965,1992.722,2045.057,2120.299,1681.906,2503.940,2603.892,1350.270,1844.561,1828.257,1844.852,1861.793,1930.874,1865.939,1451.622,1480.112,1410.050,1443.535,1953.453,1472.420,2181.465,2255.453,2129.008,1802.998,1687.599,1896.208,2000.913,1366.276,1663.862,1741.308,1665.367,2285.954,1808.583,2116.293,3198.892,2734.883
1022,770.361,1824.975,1858.720,2002.319,2282.246,1863.106,1993.432,2053.783,2121.356,1681.953,2503.880,2597.639,1341.722,1844.277,1828.232,1844.266,1853.559,1943.142,1855.412,1447.527,1483.211,1410.370,1442.701,1957.813,1466.181,2184.001,2259.534,2122.996,1819.755,1690.837,1897.922,1991.799,1373.143,1661.509,1760.176,1677.483,2262.073,1785.303,2086.184,3205.703,2756.223
1023,767.970,1828.590,1859.441,2005.137,2277.105,1861.645,2000.022,2049.809,2108.950,1687.174,2498.765,2587.290,1345.695,1848.435,1824.237,1844.684,1852.727,1946.280,1866.567,1453.656,1482.641,1404.971,1444.369,1951.390,1463.148,2178.457,2265.250,2126.346,1831.200,1678.546,1893.220,2002.910,1369.182,1656.749,1761.649,1667.101,2265.976,1790.270,2090.868,3216.264,2741.569
1024,772.770,1835.115,1867.617,2007.533,2269.974,1864.947,2001.114,2055.722,2124.213,1694.391,2499.825,2594.430,1353.254,1836.487,1834.251,1847.841,1861.471,1952.976,1870.029,1456.612,1481.793,1411.471,1449.636,1948.387,1467.609,2189.675,2278.913,2136.764,1833.118,1694.719,1903.201,2008.621,1370.214,1669.290,1769.814,1671.746,2293.958,1801.333,2102.606,3214.273,2759.871
1025,771.537,1838.110,1857.933,2010.343,2270.343,1864.237,2000.204,2049.343,2125.980,1691.352,2505.610,2589.929,1354.853,1855.173,1821.910,1845.944,1857.881,1944.539,1862.344,1450.374,1479.443,1409.996,1447.492,1954.561,1471.781,2194.281,2275.798,2145.526,1836.186,1704.738,1897.475,2000.306,1374.822,1667.912,1769.152,1672.022,2282.857,1805.046,2093.462,3229.131,2749.460
1026,768.643,1825.483,1858.534,2001.715,2250.329,1864.536,1990.239,2046.157,2120.138,1682.177,2507.453,2596.833,1351.102,1838.873,1820.340,1845.923,1860.906,1937.862,1870.805,1452.179,1473.569,1412.778,1436.940,1944.600,1462.605,2192.090,2260.464,2136.199,1829.620,1706.109,1889.548,1997.093,1360.559,1673.545,1759.633,1660.764,2266.100,1797.477,2100.476,3227.492,2750.509
1027,770.467,1834.040,1864.012,1998.172,2264.358,1869.998,1991.409,2057.259,2115.885,1685.006,2518.156,2593.378,1353.052,1841.964,1839.557,1847.937,1858.955,1948.548,1864.199,1447.877,1478.690,1410.526,1444.512,1960.851,1476.219,2183.327,2270.746,2144.625,1833.776,1698.226,1897.291,2005.810,1373.309,1670.354,1759.883,1664.624,2280.884,1791.787,2099.291,3213.279,2773.527
1028,771.961,1832.421,1861.886,2011.356,2260.406,1874.135,1994.118,2060.186,2116.367,1691.711,2494.923,2588.230,1353.648,1843.287,1829.006,1850.866,1866.845,1941.767,1873.207,1448.881,1475.501,1412.332,1453.221,1946.604,1477.937,2201.435,2263.436,2150.063,1825.594,1687.325,1875.171,2006.390,1363.531,1673.442,1766.543,1673.873,2277.898,1806.540,2093.157,3200.274,2755.775
1029,767.162,1831.599,1860.948,1997.663,2262.897,1882.345,1994.787,2054.667,2125.151,1679.317,2515.908,2592.969,1351.904,1843.867,1826.888,1851.447,1843.633,1951.773,1868.062,1442.091,1475.914,1404.424,1444.799,1944.923,1471.302,2198.943,2277.832,2140.209,1828.505,1690.522,1887.606,2001.726,1366.677,1660.772,1770.060,1670.420,2283.010,1798.255,2110.364,3208.049,2768.690
1030,769.501,1838.433,1866.104,2009.695,2269.081,1875.495,2007.975,2060.912,2123.045,1686.782,2520.719,2590.134,1350.932,1844.323,1827.065,1852.927,1863.560,1949.772,1872.358,1454.888,1481.130,1413.770,1445.388,1956.006,1478.653,2199.513,2276.907,2141.913,1832.115,1693.232,1897.976,2004.131,1367.576,1677.653,1757.812,1680.000,2266.731,1800.189,2106.151,3221.930,2760.010
1031,771.327,1823.858,1855.370,1992.001,2247.764,1867.086,1990.808,2058.376,2116.043,1682.443,2509.015,2586.342,1345.446,1836.043,1839.753,1848.172,1859.282,1953.694,1863.714,1439.041,1476.682,1407.096,1448.631,1950.355,1475.343,2190.440,2266.795,2140.417,1837.428,1695.061,1893.374,1994.941,1360.490,1662.653,1745.671,1682.710,2271.967,1786.318,2084.176,3221.399,2751.071
1032,777.781,1836.803,1874.437,2009.703,2259.709,1874.746,2005.046,2065.167,2127.277,1686.269,2509.105,2597.305,1350.036,1848.135,1834.787,1856.230,1864.813,1942.346,1866.958,1445.966,1489.640,1409.439,1448.031,1958.457,1482.659,2199.417,2287.439,2146.953,1831.621,1700.210,1906.364,1999.908,1368.150,1677.415,1774.466,1664.632,2266.223,1804.764,2087.555,3201.218,2785.625
1033,771.599,1834.445,1872.307,2003.022,2249.951,1879.486,1990.347,2065.812,2124.728,1681.786,2503.101,2601.697,1351.881,1839.688,1834.533,1851.229,1872.694,1962.141,1871.662,1432.304,1477.526,1411.669,1442.138,1952.700,1475.658,2206.400,2279.747,2129.204,1836.865,1693.515,1890.120,1999.458,1370.453,1677.416,1765.928,1666.102,2288.721,1796.458,2096.669,3211.053,2751.210
1034,771.359,1833.948,1866.466,2011.519,2263.088,1879.565,1999.635,2073.467,2125.035,1682.965,2510.173,2591.617,1354.272,1848.812,1839.227,1854.113,1867.099,1948.502,1868.497,1438.333,1483.011,1409.708,1437.333,1953.324,1483.781,2213.879,2278.449,2137.619,1821.545,1713.765,1890.020,2003.747,1369.559,1673.734,1773.829,1670.218,2305.844,1798.820,2083.701,3204.634,2765.060
1035,772.636,1832.658,1866.581,2004.654,2260.569,1883.245,1999.985,2077.311,2123.120,1683.770,2509.964,2597.060,1355.661,1841.177,1832.601,1855.594,1856.658,1945.334,1873.386,1443.183,1491.252,1416.723,1442.437,1955.227,1487.885,2204.515,2269.839,2139.695,1845.211,1689.645,1895.017,2006.168,1377.536,1675.131,1773.391,1665.430,2282.755,1793.706,2085.751,3201.963,2770.770
1036,773.819,1827.263,1860.521,2003.672,2256.125,1883.787,1993.313,2072.093,2109.512,1679.408,2499.857,2584.694,1349.728,1833.850,1830.624,1853.157,1867.229,1943.029,1863.147,1432.613,1482.159,1414.505,1444.186,1951.286,1483.098,2198.621,2264.316,2144.194,1829.413,1687.625,1903.199,1999.896,1372.332,1666.086,1755.396,1654.201,2264.231,1787.879,2095.398,3217.506,2770.158
1037,770.011,1826.374,1874.379,2001.581,2254.914,1883.558,2005.159,2075.322,2114.236,1679.153,2495.104,2599.511,1350.669,1834.883,1826.655,1853.322,1865.472,1946.974,1864.803,1424.934,1480.773,1415.649,1448.109,1956.412,1473.214,2208.529,2269.391,2136.496,1846.077,1693.085,1886.811,1998.294,1373.068,1671.815,1761.076,1665.102,2263.944,1791.145,2095.034,3203.607,2767.143
1038,775.351,1825.907,1875.973,1991.644,2263.802,1892.956,1992.240,2077.600,2115.064,1681.024,2499.502,2602.757,1353.152,1825.151,1830.870,1852.336,1852.205,1949.169,1864.664,1428.802,1488.894,1414.689,1430.706,1961.645,1470.599,2189.731,2262.629,2135.709,1829.445,1689.401,1896.111,1997.866,1369.770,1669.915,1755.468,1665.726,2284.092,1788.524,2097.169,3205.288,2760.987
1039,770.054,1831.590,1869.746,2004.078,2255.273,1884.371,1998.542,2081.930,2120.725,1676.454,2492.651,2600.298,1354.025,1840.232,1820.011,1846.496,1848.749,1952.805,1870.518,1421.848,1488.797,1424.165,1439.664,1958.336,1479.573,2194.831,2282.983,2139.509,1833.322,1682.697,1900.922,1995.734,1368.237,1666.924,1769.020,1667.966,2273.089,1806.456,2085.712,3212.659,2757.719
1040,775.304,1823.735,1870.325,1997.435,2255.580,1881.046,1988.274,2080.549,2112.934,1674.664,2492.759,2587.029,1341.104,1835.315,1833.508,1838.117,1861.163,1948.350,1866.006,1422.465,1482.261,1423.423,1433.100,1959.954,1479.807,2191.138,2272.831,2130.249,1846.162,1700.838,1887.211,1993.820,1374.645,1668.392,1757.047,1675.655,2251.748,1793.127,2091.410,3187.069,2771.667
1041,768.599,1825.286,1868.509,2002.183,2265.801,1887.143,1991.332,2081.515,2111.169,1678.984,2491.776,2589.884,1343.478,1841.145,1838.280,1849.527,1852.310,1956.498,1865.630,1413.389,1487.993,1411.935,1434.936,1961.635,1482.969,2200.431,2282.579,2120.257,1841.763,1694.054,1882.274,2003.668,1371.289,1667.422,1745.331,1670.003,2274.064,1782.479,2082.438,3205.218,2779.210
1042,766.439,1831.767,1881.909,2001.138,2271.046,1893.739,1996.801,2083.859,2123.352,1680.372,2497.971,2599.766,1349.226,1839.174,1838.758,1855.324,1870.327,1960.403,1863.221,1427.704,1488.332,1410.565,1440.684,1966.684,1475.991,2196.434,2277.036,2131.756,1849.072,1701.432,1889.287,1998.271,1367.635,1676.351,1747.704,1678.222,2287.331,1804.529,2091.598,3232.514,2776.235
1043,761.272,1820.651,1880.637,2002.527,2254.290,1892.527,1984.380,2095.142,2108.870,1678.733,2491.865,2584.377,1349.708,1826.841,1840.029,1846.368,1859.589,1947.425,1864.758,1416.935,1488.750,1415.911,1433.425,1957.073,1480.092,2200.373,2268.498,2129.052,1826.346,1692.634,1896.627,1999.870,1365.499,1665.517,1741.696,1659.744,2271.812,1804.961,2083.293,3204.867,2771.669
