 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67,Mean68,Mean69,Mean70
5233,794.955,2437.616,2419.909,3321.252,2638.196,3372.262,3574.015,5188.281,3081.199,4054.736,3193.228,3316.266,2928.368,2496.238,3077.622,2415.640,3374.110,3138.944,2730.965,3354.856,3268.154,3167.948,3448.303,3462.140,2974.969,2900.080,3129.720,3392.848,3575.722,3872.962,4180.509,3818.915,2138.872,4098.880,4269.509,4227.951,3669.979,4458.230,5164.188,3599.320,4292.781,4813.636,3068.740,3178.280,3223.212,2795.067,2943.780,3677.022,2829.820,1895.290,2096.720,2255.827,1913.110,3017.264,2456.431,3061.183,2495.322,2778.117,4381.094,3690.935,1519.572,1951.797,3522.267,3074.131,1868.654,1942.387,1657.659,1685.821,3101.122,2206.876
5234,789.892,2446.043,2420.292,3334.015,2640.996,3375.733,3584.129,5200.016,3090.774,4063.729,3197.873,3342.614,2924.436,2505.921,3093.297,2420.018,3381.095,3150.701,2700.281,3344.111,3224.951,3182.539,3453.771,3466.548,2960.447,2920.395,3121.420,3409.289,3605.318,3891.517,4156.223,3819.567,2130.562,4105.164,4298.094,4233.849,3660.025,4478.904,5137.140,3597.664,4330.405,4816.231,3053.712,3183.109,3228.124,2767.041,2963.914,3666.056,2861.830,1879.812,2110.382,2273.726,1951.900,3018.448,2450.997,3078.169,2501.432,2773.959,4374.415,3698.804,1517.905,1968.700,3468.398,3081.891,1872.190,1957.296,1669.214,1682.723,3094.073,2227.381
5235,795.194,2437.837,2411.968,3323.787,2631.178,3362.873,3581.726,5180.840,3087.076,4063.404,3169.341,3315.546,2940.726,2495.293,3077.889,2419.074,3362.187,3131.972,2706.971,3363.226,3246.954,3163.354,3441.993,3469.222,2960.552,2909.591,3089.810,3419.272,3566.874,3873.412,4134.550,3797.379,2114.246,4092.584,4307.099,4218.564,3647.011,4466.847,5079.947,3597.654,4311.943,4783.601,3037.841,3141.647,3220.813,2789.209,2938.945,3636.385,2839.386,1882.749,2098.833,2259.794,1928.974,3014.490,2472.963,3058.677,2482.727,2758.469,4363.366,3683.726,1515.546,1965.491,3527.794,3071.328,1847.791,1930.349,1669.594,1677.337,3078.036,2217.959
5236,794.844,2437.825,2410.745,3305.867,2635.744,3369.616,3574.309,5179.894,3067.635,4054.424,3149.323,3292.249,2893.917,2516.791,3077.898,2429.704,3358.533,3136.843,2697.889,3389.093,3276.552,3164.283,3451.293,3462.147,2974.482,2913.713,3108.313,3426.081,3567.502,3877.557,4149.295,3819.200,2134.007,4098.173,4305.908,4234.682,3653.327,4444.311,5142.204,3574.849,4287.267,4780.649,3015.065,3181.687,3219.447,2781.990,2953.549,3646.759,2842.466,1862.970,2109.757,2257.216,1917.277,3020.914,2471.720,3036.960,2491.945,2773.029,4347.300,3675.057,1520.734,1939.634,3499.398,3038.637,1875.436,1935.537,1678.938,1675.450,3086.007,2227.081
5237,786.591,2428.464,2424.302,3332.333,2632.656,3354.515,3584.664,5186.495,3080.064,4068.664,3168.869,3324.731,2922.298,2494.204,3068.783,2399.184,3361.142,3147.578,2713.091,3361.663,3246.091,3183.198,3455.569,3457.805,2953.729,2920.283,3118.082,3413.694,3595.148,3885.459,4149.656,3816.302,2125.303,4103.135,4320.467,4219.393,3662.055,4469.707,5119.775,3608.532,4271.007,4801.885,3036.228,3173.710,3203.138,2771.738,2932.383,3663.393,2830.568,1880.582,2108.186,2262.271,1921.446,3022.325,2464.158,3050.404,2495.540,2760.049,4353.381,3702.788,1528.016,1959.216,3482.347,3062.645,1873.002,1936.167,1662.897,1655.890,3092.487,2232.049
5238,794.577,2433.260,2429.821,3333.072,2637.254,3377.189,3572.852,5183.278,3091.744,4073.043,3192.248,3333.641,2887.668,2489.826,3075.787,2420.344,3350.718,3137.647,2719.176,3353.168,3226.615,3163.518,3466.021,3480.960,2976.610,2936.753,3160.087,3420.399,3595.557,3903.107,4157.789,3804.257,2131.710,4124.327,4304.853,4223.044,3678.948,4489.050,5147.960,3623.623,4336.141,4809.901,3041.080,3160.302,3231.738,2782.224,2939.466,3683.273,2844.515,1906.129,2113.791,2273.666,1920.216,3021.591,2470.406,3076.663,2511.590,2781.915,4384.916,3724.125,1525.584,1965.531,3511.967,3026.299,1859.566,1945.683,1705.090,1682.483,3103.382,2220.175
5239,792.270,2432.650,2427.691,3331.913,2642.471,3372.967,3573.671,5215.486,3079.857,4043.676,3175.314,3320.575,2915.281,2505.156,3083.829,2412.719,3362.150,3142.390,2709.590,3359.220,3264.667,3162.812,3454.658,3463.106,2974.505,2911.442,3129.170,3407.711,3596.817,3877.587,4149.987,3820.955,2127.158,4104.819,4306.488,4210.560,3662.304,4450.199,5150.607,3617.096,4303.168,4809.917,3040.852,3141.688,3227.091,2767.411,2946.490,3677.275,2831.250,1898.660,2125.344,2257.038,1940.974,3041.426,2495.756,3076.894,2505.823,2776.178,4362.367,3693.719,1534.521,1955.907,3535.047,3062.876,1846.971,1924.742,1651.587,1674.519,3087.034,2219.661
5240,789.878,2436.992,2423.406,3342.220,2630.592,3358.857,3576.661,5177.115,3064.009,4036.521,3188.106,3327.751,2880.051,2493.957,3083.674,2401.711,3375.090,3121.707,2710.466,3346.992,3247.761,3153.185,3448.826,3478.982,2954.959,2918.030,3108.986,3390.532,3573.137,3878.573,4138.771,3810.068,2131.795,4101.302,4294.013,4225.968,3656.044,4446.454,5126.643,3633.943,4326.237,4791.977,3056.705,3141.108,3249.667,2777.329,2933.971,3688.395,2826.252,1901.264,2100.427,2264.546,1935.165,3024.821,2460.954,3055.387,2529.817,2757.318,4368.990,3686.520,1545.609,1962.313,3520.752,3058.756,1854.566,1935.768,1662.762,1689.797,3104.711,2218.258
5241,788.299,2426.758,2421.365,3323.884,2629.053,3364.758,3558.039,5170.178,3069.572,4034.826,3176.725,3314.498,2869.200,2495.275,3073.761,2403.107,3339.327,3127.828,2719.152,3350.739,3264.644,3157.600,3449.408,3444.634,2964.987,2898.033,3105.239,3408.397,3572.648,3855.436,4133.710,3800.949,2139.162,4114.079,4252.875,4190.555,3654.817,4450.341,5118.873,3625.974,4277.451,4802.451,3027.076,3160.804,3227.866,2771.520,2948.928,3630.226,2833.828,1921.954,2109.398,2260.240,1911.457,3011.455,2445.895,3068.085,2491.130,2768.381,4351.759,3681.344,1552.629,1960.630,3501.747,3095.969,1857.000,1923.352,1659.685,1672.187,3067.010,2218.274
5242,791.500,2439.234,2420.813,3320.608,2621.020,3367.852,3549.385,5186.992,3076.083,4042.849,3167.008,3281.390,2893.062,2491.650,3061.356,2407.391,3336.928,3123.746,2696.523,3355.123,3213.780,3152.787,3437.577,3444.395,2936.441,2906.039,3082.715,3398.815,3569.735,3889.990,4103.793,3820.666,2122.411,4110.759,4292.627,4188.896,3639.100,4440.052,5124.013,3592.214,4280.246,4766.672,3061.495,3132.776,3234.410,2752.152,2918.503,3651.134,2816.600,1897.023,2115.292,2270.230,1899.838,3012.346,2452.635,3061.220,2481.118,2786.497,4358.908,3678.387,1550.006,1949.797,3479.031,3050.268,1837.016,1935.642,1679.401,1674.988,3086.555,2221.282
