 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45
333,565.648,1407.694,1326.360,1320.098,1707.972,1616.986,1247.033,1326.304,1540.315,1444.191,1008.352,1687.442,1600.159,1103.308,1198.240,1543.562,1228.711,1745.219,1672.008,1377.973,1520.489,989.767,1720.768,1456.604,1524.319,1484.514,1766.957,1396.985,1076.794,1136.185,1262.727,1439.826,1059.387,938.258,1062.551,889.991,1265.504,1567.439,1179.345,1249.739,1234.352,1537.893,1372.414,1380.524,1185.301
334,570.070,1416.571,1342.135,1331.666,1711.016,1616.015,1253.392,1332.123,1550.231,1452.666,1012.436,1683.876,1603.672,1107.506,1191.864,1545.325,1234.253,1764.941,1679.303,1385.425,1522.544,992.791,1730.975,1466.402,1527.318,1483.936,1785.900,1409.547,1074.761,1139.194,1269.042,1454.680,1060.905,942.495,1069.329,890.807,1274.103,1572.856,1179.240,1256.391,1226.871,1549.281,1387.139,1396.649,1191.536
335,568.626,1418.209,1326.565,1328.044,1719.631,1615.472,1244.444,1332.096,1548.583,1446.126,1009.845,1681.850,1597.475,1105.791,1196.716,1545.829,1234.278,1766.796,1668.925,1379.674,1521.222,994.018,1730.907,1465.681,1525.828,1483.078,1784.955,1402.312,1080.327,1137.725,1264.562,1453.430,1059.818,940.099,1063.558,897.682,1262.518,1570.596,1183.454,1247.106,1239.113,1541.592,1378.895,1378.512,1200.127
336,570.300,1417.651,1330.825,1327.519,1711.236,1624.536,1243.048,1334.996,1550.754,1456.680,1013.243,1676.994,1596.496,1102.064,1192.117,1551.392,1239.530,1766.222,1667.611,1385.282,1518.257,1001.575,1726.154,1462.101,1529.776,1496.944,1778.709,1399.226,1074.539,1138.877,1277.672,1441.838,1065.382,940.510,1068.612,904.855,1270.712,1566.166,1186.493,1251.420,1233.395,1556.156,1381.615,1393.142,1197.572
337,566.385,1416.171,1330.619,1328.225,1712.940,1627.042,1252.926,1330.753,1547.720,1449.764,1008.744,1678.906,1600.163,1102.596,1193.873,1555.781,1229.864,1758.382,1665.114,1378.091,1525.142,996.050,1723.116,1452.289,1527.159,1490.405,1786.386,1395.346,1065.526,1139.990,1268.420,1443.531,1067.966,938.409,1062.731,898.011,1266.996,1570.000,1182.006,1249.966,1230.517,1547.184,1388.074,1385.736,1193.125
338,568.498,1434.909,1334.564,1323.810,1724.481,1622.307,1242.931,1328.728,1549.440,1461.065,1009.567,1681.729,1604.909,1106.921,1188.911,1555.443,1232.986,1757.722,1654.461,1380.989,1526.246,999.897,1728.669,1470.310,1526.597,1488.947,1793.763,1395.349,1071.915,1138.782,1272.388,1451.141,1069.281,940.688,1068.161,895.573,1267.689,1574.182,1184.427,1259.198,1226.045,1557.288,1382.676,1395.814,1196.423
339,571.725,1429.770,1330.507,1320.763,1719.414,1623.878,1248.042,1333.268,1549.449,1452.449,1016.411,1684.522,1610.965,1105.671,1193.474,1560.201,1239.850,1761.606,1660.244,1381.492,1527.430,1004.324,1723.029,1478.144,1522.644,1487.206,1800.394,1392.263,1073.277,1132.664,1268.038,1453.986,1069.918,940.524,1072.290,900.048,1261.728,1581.095,1188.233,1252.993,1228.172,1557.154,1385.420,1405.538,1202.376
340,566.279,1429.593,1323.202,1326.392,1723.274,1615.234,1240.514,1323.021,1544.335,1445.412,1013.204,1675.569,1597.063,1100.383,1195.074,1555.600,1229.326,1751.091,1656.661,1382.401,1520.685,994.196,1714.615,1479.463,1520.723,1491.416,1795.631,1397.033,1066.528,1137.828,1266.475,1442.958,1065.170,940.890,1070.021,896.890,1265.210,1572.396,1184.925,1248.046,1224.036,1548.584,1382.981,1378.824,1189.457
341,568.721,1428.170,1338.321,1324.604,1727.128,1624.203,1252.961,1328.050,1541.896,1451.034,1014.477,1681.944,1599.933,1106.958,1197.098,1564.695,1238.158,1767.810,1661.551,1381.138,1523.499,994.531,1718.827,1487.064,1527.069,1489.017,1795.231,1391.905,1069.235,1136.195,1273.406,1451.440,1067.690,943.672,1072.158,904.981,1267.760,1569.348,1187.690,1248.419,1233.698,1557.024,1379.442,1391.705,1195.953
342,569.920,1436.765,1341.004,1324.837,1716.032,1622.359,1245.108,1332.943,1547.457,1465.760,1013.070,1679.937,1595.075,1105.325,1193.942,1557.990,1234.281,1756.724,1647.054,1383.138,1519.388,1001.314,1712.907,1496.302,1532.408,1491.594,1802.133,1388.673,1072.316,1146.057,1273.257,1448.923,1075.161,941.986,1074.327,908.767,1264.176,1569.530,1181.898,1254.247,1235.278,1558.644,1382.414,1389.974,1201.266
343,572.333,1436.233,1338.328,1327.112,1720.210,1619.942,1241.956,1333.245,1545.467,1447.750,1014.699,1683.459,1604.372,1107.064,1196.823,1574.465,1233.051,1766.138,1660.865,1383.910,1517.141,996.658,1709.402,1494.738,1525.262,1482.602,1797.478,1385.994,1069.713,1146.093,1277.647,1443.104,1067.523,932.351,1071.697,905.652,1267.139,1575.208,1183.282,1257.703,1230.025,1556.724,1384.136,1398.533,1195.514
344,570.251,1432.985,1337.628,1328.835,1716.183,1613.159,1239.699,1321.290,1541.777,1449.280,1014.431,1680.623,1600.077,1103.492,1193.679,1560.953,1237.609,1753.277,1650.630,1383.109,1518.610,997.378,1707.214,1500.028,1517.922,1483.841,1815.754,1382.880,1066.803,1136.586,1272.833,1442.606,1072.860,932.292,1070.476,893.466,1264.063,1578.420,1182.294,1246.996,1224.305,1561.084,1373.757,1402.648,1194.049
345,571.282,1440.259,1335.522,1327.395,1711.181,1616.088,1252.008,1325.401,1540.679,1444.175,1012.907,1683.488,1601.813,1106.174,1196.540,1560.728,1230.614,1749.695,1652.707,1381.600,1522.241,994.701,1705.443,1505.307,1522.418,1476.679,1805.713,1383.284,1059.487,1133.846,1270.134,1450.482,1066.688,939.824,1072.885,909.253,1270.609,1569.397,1184.428,1245.495,1221.678,1557.053,1380.681,1389.859,1198.654
346,572.835,1447.373,1338.389,1333.582,1719.580,1622.133,1254.385,1331.423,1538.382,1457.604,1016.720,1689.385,1589.261,1109.163,1193.738,1559.784,1238.058,1754.497,1646.021,1387.696,1520.283,1001.624,1712.002,1503.153,1527.370,1477.964,1791.452,1392.537,1069.931,1142.318,1278.536,1445.404,1068.079,936.340,1075.225,905.894,1275.191,1580.528,1181.112,1255.248,1226.589,1569.250,1379.069,1391.451,1199.734
347,567.643,1441.298,1342.723,1326.383,1700.009,1620.643,1246.202,1327.270,1538.424,1449.362,1009.229,1682.608,1607.005,1105.446,1197.203,1560.550,1226.762,1759.102,1645.364,1385.320,1511.698,995.730,1713.229,1501.283,1527.117,1475.211,1817.445,1395.687,1068.963,1133.924,1280.097,1431.042,1070.672,934.886,1074.779,903.098,1272.051,1578.398,1183.423,1250.261,1226.282,1554.175,1372.206,1384.496,1198.862
348,567.599,1455.098,1339.999,1326.772,1707.471,1626.542,1244.708,1327.619,1538.364,1453.272,1010.211,1672.354,1601.264,1104.161,1197.384,1560.602,1232.450,1745.368,1647.752,1382.651,1524.623,988.996,1702.493,1498.886,1528.791,1466.247,1797.936,1379.804,1057.291,1136.413,1271.422,1438.025,1069.985,937.738,1065.311,897.471,1266.422,1566.247,1188.495,1245.207,1226.247,1561.256,1386.112,1398.469,1197.958
349,567.588,1444.026,1339.672,1326.594,1708.983,1623.021,1242.525,1326.897,1535.015,1456.483,1012.643,1688.043,1598.554,1103.294,1195.417,1573.746,1230.796,1766.418,1647.649,1386.069,1513.315,1000.277,1722.165,1509.476,1526.454,1470.190,1804.651,1389.680,1067.893,1130.708,1275.372,1438.675,1075.295,937.680,1078.809,902.199,1269.536,1570.474,1187.660,1250.851,1220.673,1575.535,1382.705,1392.171,1197.743
350,566.253,1457.735,1335.920,1323.005,1698.880,1624.410,1243.867,1322.183,1536.321,1453.619,1010.466,1678.236,1599.128,1103.750,1192.259,1571.421,1228.270,1742.324,1646.795,1387.440,1521.800,994.857,1708.090,1484.885,1524.367,1464.081,1794.862,1383.675,1059.301,1142.905,1269.719,1448.845,1067.186,931.209,1080.165,908.064,1270.479,1569.207,1180.850,1248.259,1229.545,1565.199,1374.641,1388.580,1200.937
351,569.857,1456.846,1342.534,1318.783,1696.465,1614.677,1237.393,1330.365,1525.378,1455.604,1013.851,1677.386,1599.846,1103.429,1192.747,1576.269,1231.995,1753.875,1642.766,1383.257,1522.087,992.583,1713.589,1494.047,1520.715,1472.332,1787.415,1378.629,1064.211,1125.690,1270.663,1436.550,1066.160,930.898,1075.516,902.695,1270.622,1568.292,1184.051,1252.559,1239.172,1572.576,1368.700,1396.965,1201.045
