 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23,Mean24,Mean25,Mean26,Mean27,Mean28,Mean29,Mean30,Mean31,Mean32,Mean33,Mean34,Mean35,Mean36,Mean37,Mean38,Mean39,Mean40,Mean41,Mean42,Mean43,Mean44,Mean45,Mean46,Mean47,Mean48,Mean49,Mean50,Mean51,Mean52,Mean53,Mean54,Mean55,Mean56,Mean57,Mean58,Mean59,Mean60,Mean61,Mean62,Mean63,Mean64,Mean65,Mean66,Mean67
3861,761.006,3264.076,2483.814,2817.425,3144.407,3026.356,3084.079,2831.325,3166.641,2470.743,2565.776,2761.548,2268.494,2463.854,3025.089,3312.938,2909.560,2983.397,2377.037,2010.074,2416.282,1939.257,1899.328,2038.340,2407.159,1451.862,1663.318,2202.546,2365.996,1794.270,2333.073,2371.433,2501.531,1983.900,3050.888,2138.032,2423.134,1933.788,2259.257,2236.570,2238.552,2500.413,2315.838,2247.298,3129.424,3107.642,2412.954,2474.152,1801.431,1312.960,1918.532,2021.752,5502.597,1762.963,1834.734,1546.027,2330.065,2938.384,2773.895,2309.135,2669.919,2868.131,2766.515,2773.543,2693.632,2672.854,1730.278
3862,760.498,3266.284,2472.903,2802.154,3140.974,3029.188,3078.980,2831.655,3170.015,2479.645,2567.221,2757.441,2284.065,2459.485,3018.711,3330.107,2916.233,2985.729,2361.250,2005.407,2424.264,1932.871,1897.593,2050.684,2410.642,1449.065,1662.306,2197.607,2375.963,1783.118,2331.732,2374.100,2514.377,1993.326,3041.273,2140.950,2412.522,1927.604,2256.265,2249.442,2205.827,2509.174,2335.841,2255.126,3129.468,3088.321,2398.353,2481.691,1807.339,1323.131,1930.143,2019.609,5510.833,1771.355,1839.497,1550.822,2327.223,2955.676,2774.614,2309.669,2663.179,2875.318,2787.373,2772.097,2690.127,2677.631,1725.557
3863,766.960,3260.227,2481.676,2809.063,3148.864,3015.584,3065.555,2823.353,3153.336,2466.220,2574.287,2760.500,2276.620,2466.709,3022.924,3320.749,2906.221,2967.807,2375.829,2002.783,2429.880,1938.782,1915.226,2038.455,2411.911,1452.458,1669.096,2197.132,2374.058,1795.001,2332.312,2369.197,2507.660,1995.843,3032.848,2143.060,2425.191,1915.904,2241.665,2230.234,2226.941,2508.676,2319.995,2244.657,3137.459,3096.666,2399.362,2475.189,1794.619,1313.705,1928.700,2005.643,5512.682,1770.710,1841.327,1548.826,2336.010,2914.875,2762.468,2299.061,2675.010,2863.994,2770.612,2780.042,2687.398,2670.959,1730.231
3864,772.347,3269.008,2482.146,2810.005,3131.685,3023.172,3061.415,2826.852,3170.916,2485.204,2566.599,2748.342,2272.614,2454.699,3014.677,3333.220,2911.497,2968.830,2359.250,2000.866,2406.470,1930.047,1911.627,2050.438,2407.425,1454.342,1665.671,2205.861,2375.349,1779.999,2338.822,2357.342,2487.851,1996.154,3034.977,2131.729,2437.312,1922.475,2225.998,2214.971,2234.356,2513.112,2307.360,2236.106,3135.685,3083.770,2393.513,2484.239,1784.143,1303.274,1920.429,2021.912,5486.873,1765.213,1841.212,1548.059,2330.838,2911.854,2760.186,2280.876,2665.695,2901.201,2774.988,2783.603,2694.167,2670.796,1728.080
3865,772.786,3267.833,2472.755,2811.200,3126.898,3010.205,3073.600,2829.675,3161.530,2485.856,2561.889,2754.689,2282.573,2476.753,3021.259,3339.781,2901.097,2956.250,2364.675,1996.795,2419.192,1928.091,1916.943,2050.272,2403.340,1449.541,1655.393,2199.225,2376.630,1777.259,2323.840,2372.005,2478.889,1991.700,3048.038,2138.947,2431.210,1931.007,2255.987,2235.087,2234.910,2506.689,2316.426,2249.617,3134.408,3095.863,2412.046,2488.786,1770.496,1306.051,1934.848,2021.064,5480.774,1775.022,1850.699,1552.615,2335.700,2935.714,2780.108,2287.966,2662.850,2879.231,2764.958,2764.841,2679.327,2672.017,1727.028
3866,757.319,3261.496,2477.872,2822.349,3141.925,3022.136,3072.557,2836.009,3160.094,2490.136,2565.687,2766.057,2280.258,2463.291,3013.990,3338.479,2902.400,2967.065,2377.033,1999.983,2420.477,1928.524,1916.897,2043.155,2400.878,1458.525,1662.812,2215.729,2379.063,1775.933,2334.750,2364.623,2482.835,2016.388,3062.646,2137.591,2442.525,1936.602,2248.037,2216.514,2242.098,2513.156,2315.045,2248.708,3118.451,3091.856,2412.785,2475.065,1784.146,1319.339,1931.038,2014.775,5479.965,1763.793,1840.884,1545.254,2323.184,2927.894,2755.207,2293.948,2652.276,2845.357,2791.205,2776.285,2686.458,2674.367,1738.750
3867,753.012,3275.822,2468.598,2795.823,3135.473,3005.892,3076.151,2832.100,3166.567,2486.709,2569.567,2748.840,2255.094,2471.381,3021.415,3344.130,2902.364,2976.645,2368.438,1995.540,2432.846,1933.636,1915.921,2038.226,2393.025,1461.960,1659.734,2195.014,2380.604,1778.770,2341.781,2369.507,2487.776,2006.740,3046.340,2146.572,2427.805,1923.495,2245.887,2230.538,2245.750,2499.901,2313.173,2247.147,3123.614,3101.424,2394.361,2482.332,1772.350,1317.180,1931.648,2008.406,5503.368,1782.084,1850.607,1556.100,2336.738,2919.043,2768.070,2297.729,2650.634,2867.447,2767.581,2777.354,2677.340,2664.452,1731.007
3868,762.149,3276.372,2461.858,2824.901,3134.757,3016.629,3074.642,2856.542,3163.350,2487.978,2571.667,2786.536,2273.383,2477.712,3021.706,3323.129,2909.529,2972.126,2366.482,2001.554,2424.947,1937.249,1916.910,2039.815,2406.825,1458.521,1663.823,2231.075,2374.888,1767.528,2334.617,2371.628,2484.096,2013.565,3032.932,2143.333,2431.794,1943.474,2252.247,2237.991,2252.924,2493.263,2302.458,2240.541,3143.932,3097.337,2405.863,2483.920,1793.403,1320.775,1930.992,2012.286,5534.006,1774.883,1858.148,1561.900,2334.242,2922.766,2782.647,2300.862,2640.447,2887.726,2770.979,2783.690,2702.121,2667.196,1742.041
3869,767.226,3265.436,2470.086,2819.783,3132.483,3015.535,3078.172,2835.546,3145.939,2484.792,2569.141,2774.761,2275.831,2453.475,3022.328,3340.835,2896.256,2973.554,2375.190,1995.620,2419.198,1937.464,1908.814,2036.663,2386.895,1455.328,1661.610,2214.372,2385.349,1762.688,2328.599,2371.600,2489.480,2015.061,3045.345,2132.728,2420.561,1912.642,2241.146,2230.594,2262.229,2516.135,2297.801,2230.437,3132.312,3088.957,2410.064,2483.319,1753.895,1324.181,1943.287,2010.348,5516.535,1787.105,1851.502,1551.555,2332.877,2929.279,2752.863,2286.377,2661.037,2875.939,2754.163,2765.246,2680.087,2661.040,1726.632
3870,760.074,3264.349,2473.483,2813.613,3124.655,3008.066,3061.074,2826.234,3158.752,2470.792,2549.893,2768.671,2279.875,2459.380,3007.026,3322.353,2904.479,2953.115,2343.259,1997.594,2430.688,1926.655,1909.642,2035.828,2382.296,1450.515,1658.809,2216.986,2370.896,1762.993,2330.664,2365.419,2499.281,2026.140,3034.543,2129.974,2441.985,1923.607,2233.332,2213.753,2243.533,2501.395,2295.711,2236.381,3109.930,3078.859,2394.832,2473.885,1771.623,1308.809,1938.305,2008.385,5498.999,1772.898,1844.802,1547.189,2331.090,2904.032,2763.987,2303.018,2664.923,2837.573,2765.894,2776.739,2711.291,2666.946,1725.077
