 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20,Mean21,Mean22,Mean23
3859,735.459,2030.553,1570.611,1714.948,1738.180,2185.394,2117.438,2161.838,1893.378,1757.152,1176.780,1692.000,1348.325,1973.951,3110.601,1633.339,1543.864,2014.566,1805.914,1738.263,1360.068,2861.098,1318.966
3860,739.302,2046.400,1575.250,1718.046,1751.945,2182.876,2128.588,2174.371,1905.874,1758.905,1181.045,1694.380,1353.203,1985.464,3121.213,1637.581,1551.699,2018.043,1798.718,1747.701,1367.328,2870.156,1316.689
3861,742.223,2038.312,1573.062,1722.176,1747.319,2198.611,2123.657,2176.030,1905.967,1761.249,1179.665,1705.071,1353.695,1985.264,3131.831,1643.765,1548.014,2018.280,1806.539,1752.719,1363.004,2874.758,1319.813
3862,731.949,2036.872,1568.356,1716.104,1743.499,2191.178,2127.669,2170.864,1902.620,1756.417,1176.349,1695.054,1347.741,1978.248,3103.328,1641.248,1546.844,2008.160,1801.840,1745.919,1360.802,2869.749,1317.451
3863,731.532,2038.667,1567.436,1713.794,1749.551,2176.147,2124.833,2164.187,1902.317,1755.253,1173.573,1688.736,1342.557,1971.882,3110.587,1631.123,1542.296,2008.000,1806.601,1746.315,1360.104,2865.747,1318.447
3864,739.828,2050.811,1569.710,1722.826,1753.895,2186.531,2123.106,2171.297,1903.967,1760.647,1178.938,1701.765,1349.896,1978.962,3128.909,1634.984,1548.497,2015.820,1813.088,1751.795,1364.626,2864.443,1326.516
3865,736.522,2049.387,1574.278,1717.238,1750.873,2188.739,2120.589,2168.845,1903.234,1756.841,1178.467,1693.828,1352.727,1971.695,3114.698,1636.425,1545.580,2007.784,1804.806,1749.429,1367.103,2886.905,1328.193
3866,740.269,2045.185,1575.979,1716.897,1756.117,2191.307,2129.827,2173.079,1903.980,1765.068,1179.237,1697.464,1352.830,1972.049,3127.310,1642.725,1548.115,2012.739,1815.562,1754.277,1372.014,2876.365,1327.974
3867,736.943,2040.215,1573.126,1712.155,1754.068,2184.292,2130.144,2169.649,1900.811,1759.038,1178.197,1691.152,1346.898,1959.529,3121.464,1637.092,1545.281,2014.290,1810.794,1746.867,1369.059,2880.148,1329.945
3868,737.638,2047.849,1570.418,1707.927,1757.805,2182.984,2129.994,2159.433,1906.606,1757.214,1180.339,1697.373,1344.388,1965.488,3123.384,1637.975,1544.462,2009.668,1808.509,1746.849,1364.039,2871.778,1324.604
3869,737.358,2040.207,1568.932,1709.626,1754.121,2190.238,2130.122,2166.390,1902.397,1755.901,1177.386,1693.326,1341.123,1969.567,3115.048,1640.302,1541.992,2001.429,1812.764,1747.919,1365.364,2874.556,1324.611
3870,736.552,2052.634,1568.394,1712.863,1754.976,2186.369,2132.539,2172.186,1899.699,1758.489,1178.335,1692.103,1345.732,1972.693,3132.716,1643.892,1547.357,2006.361,1820.555,1751.282,1363.372,2877.140,1329.228
3871,738.435,2048.775,1575.469,1715.116,1755.577,2186.595,2143.765,2163.163,1908.942,1761.643,1182.144,1695.547,1348.432,1971.663,3136.148,1639.902,1543.464,1999.643,1818.142,1752.648,1364.914,2868.569,1326.270
3872,730.640,2038.255,1571.289,1706.303,1758.452,2179.474,2137.452,2162.308,1899.520,1753.793,1180.359,1692.835,1342.186,1960.429,3131.106,1641.117,1540.480,2001.756,1813.147,1753.656,1362.219,2874.638,1319.046
3873,737.974,2046.347,1571.711,1708.578,1759.708,2183.886,2134.853,2168.699,1907.254,1762.013,1181.202,1688.568,1344.243,1959.406,3126.566,1640.296,1543.241,2003.408,1817.941,1751.876,1364.258,2881.436,1331.113
3874,739.205,2053.880,1574.626,1711.747,1761.278,2188.174,2130.567,2171.697,1908.266,1762.501,1184.810,1695.955,1348.047,1964.620,3132.149,1642.468,1549.256,2010.987,1823.584,1759.471,1367.489,2871.351,1330.742
3875,734.533,2055.755,1577.401,1710.932,1757.208,2188.646,2130.644,2166.405,1906.380,1762.005,1184.149,1695.718,1347.500,1965.148,3136.366,1645.689,1542.727,2008.474,1828.823,1755.803,1363.243,2881.335,1326.957
3876,735.249,2052.953,1572.432,1715.360,1759.210,2179.461,2142.491,2174.643,1910.913,1761.260,1186.277,1692.997,1347.404,1964.532,3137.947,1644.930,1545.112,2003.526,1820.644,1758.948,1365.923,2877.704,1327.205
3877,735.855,2054.965,1573.951,1704.083,1759.536,2178.411,2130.279,2167.747,1905.455,1761.360,1185.820,1691.315,1347.943,1958.443,3140.901,1639.199,1540.709,1998.538,1813.953,1757.395,1364.076,2874.032,1325.269
3878,732.414,2057.073,1573.440,1704.711,1761.407,2177.890,2139.983,2172.051,1908.215,1760.163,1185.833,1692.568,1344.645,1965.440,3140.075,1641.742,1541.389,2004.743,1814.142,1754.016,1365.215,2878.922,1325.781
3879,737.693,2057.231,1573.473,1704.174,1761.838,2190.091,2144.155,2166.967,1907.154,1766.444,1181.593,1691.237,1346.133,1965.245,3155.280,1638.383,1541.463,2003.701,1827.710,1757.867,1365.511,2878.103,1332.107
3880,738.576,2060.985,1574.300,1706.604,1766.112,2182.798,2143.596,2172.445,1909.643,1768.282,1184.858,1699.118,1346.920,1967.422,3144.181,1639.769,1548.556,2005.413,1820.584,1756.743,1365.248,2892.012,1332.832
3881,736.967,2057.227,1576.075,1707.648,1758.775,2180.906,2131.504,2169.246,1908.137,1767.239,1188.605,1693.754,1348.717,1966.208,3150.175,1641.220,1540.427,2005.685,1823.929,1759.408,1367.398,2878.156,1335.610
3882,740.973,2059.424,1580.557,1705.779,1769.304,2194.185,2144.710,2168.892,1916.554,1767.106,1191.822,1697.154,1349.251,1962.108,3156.208,1644.823,1540.366,2009.192,1821.662,1751.823,1364.031,2881.340,1339.822
3883,741.795,2065.792,1576.444,1712.230,1765.974,2181.681,2136.292,2165.781,1916.020,1769.571,1185.346,1698.336,1348.527,1959.729,3149.493,1644.625,1543.864,2008.511,1819.675,1757.652,1368.951,2878.036,1342.066
3884,735.097,2054.445,1574.229,1702.253,1754.746,2183.043,2132.684,2164.193,1910.311,1769.232,1188.951,1691.226,1342.639,1954.623,3148.267,1637.840,1544.489,2002.884,1821.049,1754.202,1364.714,2876.962,1340.390
3885,737.861,2061.117,1574.252,1701.335,1760.488,2179.281,2130.741,2160.411,1910.092,1767.843,1186.358,1689.441,1345.597,1955.144,3158.276,1633.651,1542.107,2000.355,1820.578,1753.854,1361.143,2878.940,1346.120
3886,736.281,2068.416,1573.439,1705.181,1761.517,2179.714,2128.146,2157.816,1909.917,1770.781,1189.831,1694.714,1351.930,1964.687,3155.588,1636.158,1545.474,2000.553,1833.794,1758.078,1369.138,2881.248,1352.891
3887,734.801,2057.094,1575.869,1701.296,1760.172,2168.723,2135.809,2165.790,1915.980,1771.252,1192.600,1691.499,1351.282,1949.674,3148.423,1640.256,1546.089,2000.759,1821.379,1750.809,1364.228,2883.445,1362.538
3888,734.924,2056.832,1574.560,1699.332,1749.817,2173.083,2139.122,2161.269,1909.810,1767.746,1191.563,1687.023,1346.208,1947.499,3137.164,1633.972,1543.151,1990.734,1832.718,1743.455,1356.968,2872.007,1363.147
3889,739.475,2061.722,1572.229,1700.924,1753.284,2179.196,2127.239,2154.931,1908.603,1766.430,1190.125,1688.031,1346.514,1945.854,3146.921,1628.757,1541.415,1995.505,1823.372,1750.614,1358.662,2882.927,1370.710
3890,740.669,2056.204,1579.272,1698.914,1755.079,2170.728,2135.389,2157.376,1909.745,1772.077,1194.629,1691.111,1345.775,1941.334,3149.191,1633.019,1541.792,1993.602,1829.617,1751.882,1366.875,2872.928,1377.994
3891,735.897,2053.807,1571.674,1697.912,1758.206,2178.479,2136.618,2155.318,1915.869,1772.616,1189.399,1691.458,1351.380,1950.075,3147.652,1631.112,1542.219,1989.330,1824.146,1747.497,1373.230,2872.722,1381.466
3892,737.947,2060.136,1573.238,1702.996,1753.846,2178.967,2127.275,2162.480,1918.599,1769.941,1196.160,1691.001,1349.571,1951.534,3151.858,1635.167,1545.750,1993.537,1823.831,1756.303,1366.846,2887.533,1380.914
3893,739.016,2054.698,1576.306,1700.156,1754.193,2181.756,2131.602,2160.228,1921.728,1768.886,1197.744,1691.168,1348.982,1956.956,3153.498,1637.376,1548.146,1990.614,1824.474,1752.089,1365.286,2883.555,1390.013
3894,735.781,2055.201,1574.610,1703.735,1753.810,2187.210,2128.487,2158.950,1913.608,1772.412,1197.267,1690.199,1347.648,1958.826,3154.093,1630.967,1549.152,1990.598,1833.548,1751.578,1366.986,2881.594,1391.750
3895,737.616,2062.651,1574.656,1703.409,1754.620,2179.212,2124.198,2158.939,1917.797,1771.638,1197.741,1693.688,1349.353,1961.136,3152.219,1634.179,1550.711,1989.629,1833.810,1753.605,1366.986,2877.791,1394.039
3896,737.463,2048.839,1573.781,1697.819,1751.769,2186.406,2126.307,2152.782,1915.195,1767.079,1195.122,1695.631,1345.947,1950.732,3142.912,1629.939,1545.418,1988.534,1831.834,1748.165,1365.643,2876.042,1397.831
3897,739.039,2056.367,1576.953,1703.004,1747.341,2183.498,2128.092,2159.005,1919.224,1770.008,1199.340,1692.633,1342.683,1940.408,3155.596,1631.258,1536.021,1996.368,1840.001,1752.581,1365.895,2882.399,1396.812
3898,741.520,2064.555,1576.700,1706.238,1757.684,2183.236,2140.725,2163.812,1922.750,1775.531,1200.696,1700.231,1349.548,1950.627,3167.188,1632.025,1548.080,1990.151,1838.407,1755.130,1367.736,2892.959,1400.091
