Cell 1,Cell 17
258.25763,77.063644
245.06985,71.465645
232.5924,197.05751
220.78703,178.00603
209.61754,161.09056
313.84195,187.19962
297.66022,169.2534
296.07504,175.95628
291.93964,159.27063
276.93762,144.45575
262.74365,131.30188
249.31425,119.62279
236.60818,160.29369
224.5865,146.17892
213.21234,132.83186
202.45084,170.10033
192.26898,154.07123
182.63556,139.8393
173.52101,147.88394
164.8974,134.34572
156.7383,122.32536
149.01866,111.65271
141.71483,134.03592
134.8044,122.0503
128.26619,117.75799
122.08016,107.59743
116.227325,98.576035
110.68974,90.5661
105.45043,83.45423
100.493324,77.13973
95.80322,71.533195
91.365746,66.55525
87.16728,62.135433
83.19496,58.211147
79.43661,54.726852
75.88069,51.63321
72.516304,48.88641
69.33313,46.447586
66.32141,203.07063
63.47192,183.34497
103.53921,165.83092
98.68504,150.2805
94.09233,136.47359
89.74701,124.214645
85.63574,113.33017
81.74592,103.66604
78.06561,95.085434
74.583534,87.46686
71.289024,201.49255
68.17195,181.94383
65.222786,164.58687
62.43247,263.2295
59.792446,236.75893
57.29463,213.25621
54.931343,192.38857
52.695354,173.86057
107.83331,157.40988
102.747856,142.80363
97.93632,129.83499
93.38394,118.320366
89.076775,108.09674
85.00161,117.35628
81.145935,107.24074
77.49795,98.25934
74.04645,90.28491
70.78085,83.204575
67.69116,76.91807
64.76789,71.33638
62.00207,66.38051
59.38523,61.980278
56.90934,58.07339
54.56681,54.60454
52.350456,51.52461
50.253483,48.789986
48.26946,46.361973
46.392296,44.20618
44.616253,42.29209
42.935867,40.592606
41.345993,39.083664
66.96755,37.7439
64.08326,36.554348
61.354317,177.99391
68.15656,161.0798
65.20822,146.06207
66.23064,132.7281
80.44304,120.88912
76.83291,110.377495
73.41723,101.0444
70.18553,92.75773
67.127914,85.40014
64.23497,78.86747
61.497856,130.23848
58.908173,118.67862
56.457977,192.52336
54.13976,173.98024
51.946407,157.51614
49.871197,142.89796
47.907764,129.91875
46.050087,118.39474
44.29247,108.16278
42.629524,216.52234
41.056152,195.2885
39.567524,176.43536
38.15908,159.696
36.826496,144.83342
35.56569,131.6372
34.3728,119.92053
50.99558,109.517494
48.97158,100.28083
47.056602,92.079765
45.244774,84.79819
43.530533,78.33301
41.90863,72.59268
64.1116,117.33159
61.381134,122.33115
58.797737,111.65784
66.318794,102.181206
63.46944,93.767075
60.773563,86.29631
58.222893,79.66317
55.80961,73.77371
53.526314,68.54457
77.81661,63.901707
74.347946,59.779392
71.06612,56.119267
67.96106,56.360565
136.39651,53.083748
159.19185,56.932648
151.34006,53.59169
143.9112,50.625317
136.88246,47.991528
130.23235,45.65303
123.94039,43.57672
117.98736,41.733208
112.35497,40.096382
107.02596,38.643074
101.98399,37.35271
97.2136,36.20702
92.70016,35.189777
88.42982,51.279255
84.389496,48.572147
80.566795,46.168552
76.950005,174.74712
73.528015,158.19704
70.29035,143.50252
67.22707,130.45552
64.328804,235.58339
61.586636,212.21246
58.992172,191.46184
56.537453,173.03773
54.214954,156.6793
52.01755,142.15495
49.938507,129.25905
47.971447,117.80899
46.11034,107.6427
44.349476,98.61624
42.68346,90.60181
41.10718,219.37172
39.615803,197.81842
38.204758,178.68163
36.869717,161.69041
88.18812,146.60423
84.16081,133.20947
80.35043,121.31651
76.74529,110.75697
73.334335,101.38133
70.10709,93.056885
67.053696,154.04976
64.164764,139.82024
61.43143,143.765
58.845325,130.68857
56.398518,119.07825
54.0835,108.76965
51.893177,99.61684
49.82083,91.49022
47.86011,84.274734
46.005,77.86824
44.249813,72.18002
42.589165,67.12956
41.017963,62.64535
39.531395,58.6639
38.124893,55.128838
36.79415,51.99012
35.53509,49.203312
34.343845,46.728954
33.216763,44.532017
32.15039,42.581394
31.141455,59.71875
30.186865,56.065422
29.283691,52.821697
28.429167,170.27559
27.620667,154.22685
26.855717,139.97746
26.131971,127.32568
59.639008,116.09241
57.14945,134.77194
54.793983,122.7038
52.56539,111.98871
50.45684,102.474976
48.46186,124.40912
46.574337,113.50284
44.788483,114.62363
43.09882,104.81447
41.500164,96.1051
39.987625,88.37221
38.556553,81.50631
37.20256,75.4102
35.9215,69.99758
34.709442,65.19181
33.562664,60.924854
32.47766,57.1363
31.451097,53.772514
30.479828,138.80376
29.560875,189.76605
59.078945,171.53207
56.619553,155.34245
54.29263,140.96799
52.09104,128.20515
50.00804,116.873276
48.037235,106.81189
46.172585,97.87857
44.408367,89.94684
152.17299,82.9044
153.19847,76.65154
145.66951,71.09975
138.54607,66.1704
131.80632,61.793728
125.42961,57.907757
119.39636,54.457474
113.68808,51.394028
108.28727,78.16153
103.17736,72.44044
98.34269,67.36078
93.768425,62.850643
89.440544,58.846176
85.34578,55.29068
81.47157,52.133816
77.806046,49.330894
76.54029,46.84223
73.14037,44.632595
69.923584,42.670696
66.88007,40.928764
64.000496,164.85411
124.86409,149.41322
118.861305,135.70352
113.18185,123.53093
107.808304,112.723114
102.7242,103.127045
97.91393,94.60686
93.36276,87.04195
89.05673,80.325195
84.98264,74.36151
81.128,69.06647
77.48097,64.3651
74.03039,60.19083
70.76567,56.484573
67.67679,53.193855
64.75429,111.0621
61.989204,101.65225
59.373055,93.297424
56.89782,85.879326
54.55591,79.29292
52.34014,73.44498
50.24372,68.2527
48.260223,104.50578
46.38356,95.831024
44.60798,88.12886
42.92804,81.29025
41.33859,154.40454
39.834747,140.13522
38.41191,127.46576
37.065712,116.21678
35.792015,106.229004
34.586933,97.36104
33.446762,89.48733
32.368,82.49641
31.347342,76.28929
30.38166,70.77811
29.467995,65.88483
28.603542,61.54017
27.785652,57.682625
27.011814,54.257584
71.120575,51.216553
68.01258,48.51647
65.072,46.119125
62.289803,43.99056
61.68839,42.100643
59.088444,40.422623
56.62854,38.93274
54.301136,37.609898
52.09909,36.43537
50.015656,35.39253
48.04444,34.466606
46.1794,112.85539
44.414818,103.24449
42.74528,94.71115
41.165676,87.13454
39.67115,80.40741
38.25712,74.43451
36.91926,69.13128
35.653458,126.6913
34.45584,115.529144
33.322723,137.56413
32.25064,125.18294
31.236307,114.189896
30.276608,104.42937
29.368603,95.76318
28.5095,88.06862
27.696676,81.23676
26.927633,75.17088
26.200012,69.785095
25.511581,65.00314
24.860233,60.757343
24.243969,56.98757
23.6609,53.640457
23.109236,50.668617
22.587286,48.02997
22.09345,45.687164
21.626215,43.60703
21.184145,41.760117
20.765886,61.677265
20.370155,57.80435
33.97777,54.36566
32.87041,71.61127
31.822691,66.62457
30.831408,62.196976
29.893517,58.265793
29.006144,54.775368
28.166569,51.676285
29.280144,48.92466
28.425808,46.481544
27.61749,44.312347
26.852713,42.386353
26.129126,40.6763
25.444517,101.177155
24.796782,92.875595
24.183935,85.50478
23.604097,78.96037
23.055494,73.14972
22.536438,67.99054
109.52665,63.40979
104.34998,59.34263
99.45215,55.73147
94.81813,52.52519
90.433716,49.67839
86.28545,119.412735
82.360634,122.264175
78.64722,111.59839
75.13382,102.12842
71.80966,93.7202
68.66455,86.25469
65.68884,79.626205
62.873425,73.74089
60.20965,68.51543
57.689354,63.875835
55.30481,59.756424
53.048706,56.09887
50.91412,52.851395
48.894512,108.750946
46.983685,99.600235
45.17578,96.53403
43.465256,100.4563
41.84687,92.235565
40.31565,84.93651
38.86691,78.45582
37.4962,95.14084
36.199326,153.87791
34.972298,164.62056
33.811367,149.20586
32.712967,135.51941
31.673729,123.36746
30.690468,112.57796
29.760168,102.99817
28.879978,94.49243
28.0472,86.94035
27.259274,80.234985
26.51379,74.28142
25.80846,68.99536
32.601105,64.301956
31.56789,60.13477
30.59033,56.4348
29.665424,53.149662
28.790337,102.09076
27.962387,93.68677
50.74693,86.225006
48.736324,79.59985
46.83402,73.7175
45.03418,68.49466
43.331284,63.85739
41.720108,59.740047
40.195717,118.65521
38.753433,108.39404
37.38884,99.28334
36.097748,91.19411
34.876194,91.61441
33.720436,84.38501
32.626938,77.96615
31.592333,72.26696
30.613457,67.20676
29.687305,62.713886
28.811039,58.72475
33.22917,55.18287
32.16213,52.038094
31.152561,49.245903
74.53395,46.76677
71.2421,67.41748
68.12756,62.90098
65.180786,78.368546
62.392727,72.624245
59.754845,67.52398
57.259045,62.995544
54.89768,58.97483
52.6635,55.404907
71.160484,52.235237
68.05034,49.420948
65.10773,46.922188
62.3236,44.703587
59.68944,42.733727
57.197166,40.984726
54.839134,39.43182
61.0801,38.053024
58.51292,36.82881
56.084015,35.74186
53.78594,34.77677
51.611645,33.919888
49.554466,33.159077
47.608093,32.483566
45.766556,144.82678
