Cell 4,Cell 5,Cell 45,Cell 51,Cell 64,Cell 125,Cell 171,Cell 261,Cell 269,Cell 273,Cell 274,Cell 303,Cell 344
265.83257205746094,4224.9232841372195,1011.0930452233118,3359.3158242939817,355.2624530634075,310.24391141367556,155.99550571414198,134.36673645964126,11465.146477658709,804.2860747316005,8.014713720250613,2004.0748199333416,600.996620220324
254.26007792104505,4034.1435014964422,961.4695117058114,3208.877596067088,332.0473040140213,310.24391141367556,155.99550571414198,134.36673645964126,10996.697299084048,977.8355138456348,8.014713720250613,1826.4686195739775,2895.3390012656873
489.1786342443895,3851.158152346644,914.3539737109566,3097.4591421427494,310.6905228944515,310.24391141367556,155.99550571414198,134.36673645964126,10547.948314132349,914.0415682988105,8.014713720250613,1664.446769729256,2770.351213048181
461.91368150382294,3675.6488773170217,869.619783293711,2958.4899077366667,291.04339754570316,310.24391141367556,155.99550571414198,134.36673645964126,10822.765673375845,853.1843903408985,8.014713720250613,1516.6418387648073,2650.4627898712038
436.5643475984244,3507.3102564897276,827.1465180947702,3515.127099246048,272.9691176643136,310.24391141367556,155.99550571414198,134.36673645964126,10714.558651405943,795.1288481354648,8.014713720250613,1381.8063901629012,2535.4654797895473
412.99614156570175,3345.8490769780037,786.8199203054073,3475.051416769811,256.3416761695337,310.24391141367556,155.99550571414198,134.36673645964126,11184.411150172751,739.7459133617228,8.014713720250613,1258.8022403349944,2425.1600640607853
391.0838497866162,3190.9845770668007,748.5314694213937,3319.5440968873945,241.0453351457082,310.24391141367556,155.99550571414198,134.36673645964126,11250.144542972797,686.9125391442209,8.014713720250613,1821.545157682439,2319.3548923015774
370.71110873950164,3042.446981369051,712.1781991375359,3170.8478119713013,226.97349669187895,310.24391141367556,155.99550571414198,134.36673645964126,10790.737355810172,636.5114159122154,8.014713720250613,1659.9554367419903,2217.8666149095184
351.769764130945,2899.9779891069106,677.6622701015962,3028.664222186101,214.02813834658647,310.24391141367556,155.99550571414198,134.36673645964126,10372.442469809157,588.4305441535763,8.014713720250613,1512.544670814801,2120.5187182194436
466.84376557453317,2763.32955340865,695.7984999714218,2892.707927149127,202.11908066599128,310.24391141367556,155.99550571414198,134.36673645964126,9949.946412293444,1387.167241423387,8.014713720250613,1526.527825047706,2252.3043577410385
441.14808768608,2632.264125449276,662.1104517675175,2762.7064659304774,191.163376872308,310.24391141367556,155.99550571414198,134.36673645964126,10574.360421242183,1435.897466211755,8.014713720250613,1390.8249448091433,2153.5516759481147
417.2577686265584,2506.5534337474237,630.1250402261359,2638.3988522093046,181.08468724345047,310.24391141367556,155.99550571414198,134.36673645964126,10143.373153517197,1446.300786562468,8.014713720250613,1267.0295352192313,2058.827802595791
395.0460688980721,2385.978484165356,599.7562057798065,2519.535818414434,171.81283660814663,310.24391141367556,155.99550571414198,134.36673645964126,10482.127030714842,1360.94055675674,8.014713720250613,1347.7154479360477,1967.9685531199964
374.3949465122119,2270.329804049584,570.9222833921636,2760.5787804429333,163.28320399437274,310.24391141367556,679.1794130488968,134.36673645964126,10674.085022064559,1279.5101365357596,8.014713720250613,1227.7026311022685,2380.745759108511
355.19478233186163,2159.4059773871386,543.5456363470214,2695.4144756194196,155.43638693599218,310.24391141367556,907.4335127301109,134.36673645964126,10238.902442199374,1201.828373555111,8.014713720250613,1118.2206980093754,2276.7525989991714
337.3436171317692,2053.0138889461914,517.5526562483728,2574.0541274410616,148.21774370908122,310.24391141367556,800.7889766557317,134.36673645964126,9827.362438431543,1127.7226603922852,8.014713720250613,1018.3452712201907,2177.0023586504185
320.7467243524667,1950.9683580651213,492.87342732704263,2458.009208801983,141.57696608583294,310.24391141367556,709.2795120668133,134.36673645964126,9427.789230512411,1057.0284462654279,8.014713720250613,927.233699371382,2081.3216982250906
305.315938713573,1853.0921386525154,748.9813595432554,2676.1864488118445,135.4677894175635,310.24391141367556,630.7571696474366,134.36673645964126,9126.103709510695,989.5886877169308,8.014713720250613,844.1168784625614,1989.544846245115
290.9693205204453,1759.2146984840597,712.605262111714,2555.6683857662497,129.84767220014018,310.24391141367556,563.3786875954667,134.36673645964126,8756.021709999824,925.2536044728064,8.014713720250613,1205.184442728722,1901.5122568181184
277.6306979005218,1669.172707483783,678.0677876663294,2440.428642885968,124.67745275122553,310.24391141367556,505.56264494092545,134.36673645964126,10761.980522338928,863.8803132317486,8.014713720250613,1097.6784617752269,1817.0714641295847
265.2292700748187,1582.8094273725017,645.2758575968945,2330.236263146191,119.92112795783491,310.24391141367556,455.9518638880421,134.36673645964126,10323.102630290661,1190.105351051113,8.014713720250613,999.6055862473271,1736.0754955288505
253.6991953706388,1499.9744675271986,614.1412761055403,2224.8702992874537,115.5455557299481,310.24391141367556,413.38191567320285,134.36673645964126,9902.682744471891,1116.5393107418322,8.014713720250613,910.1383625355271,1658.384336372801
242.97919449306855,1420.523784981023,584.5802419255032,2124.1190813937837,111.52025663625048,310.24391141367556,376.85347163791874,134.36673645964126,9922.72473494054,1046.3598671246782,8.014713720250613,828.5216026550004,1583.8627327603276
233.01242845466953,1344.3190740717362,556.5132872859699,2035.8787274090598,107.81719265169042,310.24391141367556,345.50917090356086,134.36673645964126,9519.141761740297,979.4113195154854,8.014713720250613,844.9151572675032,1869.913869347414
223.74588822393537,1271.2277664417109,706.91623642068,1943.4052192455028,521.1977566812759,310.24391141367556,318.61329566340936,134.36673645964126,9132.529490209603,915.5447421324569,8.014713720250613,769.0215418920443,1988.9032447070044
