Cell 32,Cell 55
563.6433,48.666588
541.45154,77.022385
520.4893,75.42865
500.6885,73.92449
481.9848,72.504875
464.31732,71.16505
447.62872,69.90053
431.86475,68.70708
416.97415,67.5807
402.9086,66.51764
389.6223,65.51432
377.07217,64.5674
365.21738,63.673695
354.01938,62.830223
343.44177,62.034157
333.45026,61.282833
324.0123,60.57374
315.09726,59.9045
306.67618,59.272873
298.72165,58.67675
291.20782,58.11413
284.11032,57.583134
277.40604,57.081978
271.07324,56.608994
265.09128,56.162594
259.44073,55.74128
254.10329,55.343647
249.06154,54.968365
244.29913,54.614174
239.80058,54.279892
235.55128,53.964397
231.53741,110.39184
227.74593,106.92258
224.1645,103.648315
220.78151,100.558075
217.58595,97.64152
214.56744,94.888885
211.71617,92.29097
209.02289,89.839066
206.47879,87.52498
204.07568,85.34094
201.80571,83.27967
199.66151,155.18762
197.6361,149.20062
195.7229,143.55013
193.91571,138.21721
192.20863,133.18402
190.59616,128.43375
189.07301,123.95044
187.63425,119.719124
186.2752,115.725624
184.99147,111.95658
183.77885,108.399376
182.63342,105.0421
181.55144,101.87352
180.52942,98.88303
179.56403,96.06062
178.65211,93.39685
177.79073,90.8828
176.97705,88.51004
176.20848,86.270645
175.48248,84.15711
174.7967,82.16237
174.14893,80.27975
173.53703,78.50293
172.95905,76.82599
172.41309,75.24329
171.89737,73.74955
171.41022,72.33977
170.95007,71.00922
170.51541,69.753456
170.10483,68.56827
169.71701,67.4497
169.35066,66.394
169.00462,65.39763
168.67775,64.45727
168.36899,63.569756
168.07733,62.732124
167.80185,61.941574
167.54161,61.195454
167.29579,60.491272
167.0636,59.826668
166.84427,59.199417
166.6371,58.60742
166.4414,69.76908
166.25655,68.58302
166.08192,67.46362
165.91699,66.407135
165.76118,65.410034
165.61401,64.46897
165.475,141.58191
165.34369,136.35962
165.21965,131.43085
165.1025,126.77908
164.9918,122.38878
164.88727,118.24523
164.78853,212.84616
164.69524,203.61847
164.60713,194.90942
164.5239,186.68988
164.44528,178.93228
164.37102,171.61072
164.30087,164.70067
164.23462,158.17899
164.17203,152.02386
164.1129,146.21469
164.05705,140.73201
164.0043,311.18652
163.95448,296.4316
163.90741,282.506
163.86295,269.3631
163.82095,256.9589
163.78128,304.12628
163.7438,289.7682
163.7084,786.05804
163.67497,764.3204
163.64339,724.09717
163.61356,686.1347
163.58537,726.15765
163.55876,688.07935
163.53362,652.14124
163.50986,748.52203
163.48743,891.3112
163.46623,989.54205
163.44621,936.6603
163.4273,994.92096
163.40945,941.7369
163.39258,1209.4078
163.37665,1144.1686
163.36159,1082.5961
163.34737,1024.4841
163.33394,1380.8446
163.32124,1305.9697
163.30927,1364.8663
163.29794,1290.8895
163.28725,1353.86
163.27715,1280.5018
163.26761,1211.2667
163.25859,1240.4934
163.25008,1173.507
163.24203,1110.2855
163.23444,1050.6173
163.22726,994.3028
163.22049,941.15344
163.21408,890.99133
163.20804,843.6486
163.20233,798.9668
163.19693,756.79626
163.19183,716.9959
163.18701,679.43256
163.18246,643.98047
163.17818,610.52094
163.17412,578.942
163.17029,549.138
163.16666,521.00903
163.16324,494.46112
163.16002,469.4053
163.15697,445.75775
163.15408,423.4393
163.15135,402.37524
163.14879,382.4951
163.14635,363.7323
163.14406,346.02408
163.14189,329.31116
163.13985,313.53757
163.13791,298.6505
163.13608,284.60022
163.13435,271.3396
163.13272,258.82428
163.13118,247.01239
163.12973,235.86441
163.12836,225.34299
163.12706,215.4129
163.12584,206.04095
163.12468,197.19577
163.12358,188.84769
163.12254,180.96884
163.12157,173.5328
163.12065,166.51471
163.11978,159.89108
163.11896,153.63972
163.11818,147.73972
163.11745,142.17133
163.11676,136.91591
163.1161,131.95587
163.11548,127.27461
163.1149,122.85646
163.11435,118.68663
163.11383,114.75117
163.11333,111.036896
163.11287,107.53138
163.11243,104.22289
163.11201,101.10036
163.11162,98.15332
163.11125,95.37193
163.1109,92.74686
163.11057,90.26933
163.11026,87.93106
163.10995,85.724205
163.10968,83.64139
163.10942,81.67563
163.10918,79.820366
163.10893,78.06937
163.10872,76.416794
163.1085,74.85709
163.1083,73.38506
163.10812,71.995766
163.10794,70.684555
163.10777,69.44704
163.10762,68.279076
163.10747,155.11368
163.10733,149.13083
163.1072,143.48425
163.10707,138.15503
163.10695,133.12535
163.10684,128.37836
163.10674,123.89817
163.10664,119.66979
163.10654,115.67907
163.10646,111.91264
163.10637,108.35791
163.1063,105.00296
163.10622,101.836586
163.10614,98.848175
163.10608,96.027725
163.10602,93.3658
163.10596,90.853485
163.1059,88.482376
163.10585,86.24454
163.10579,84.13248
163.10574,82.139114
163.1057,80.2578
163.10565,78.48222
163.10562,76.806435
163.10558,75.22484
163.10555,73.73214
163.10551,72.32333
163.10548,70.993706
163.10545,69.738815
163.10542,68.55445
163.1054,67.43666
163.10536,66.38169
163.10535,65.38602
163.10532,64.446304
163.1053,63.559406
163.10529,62.72236
163.10526,61.932354
163.10524,61.186752
163.10522,60.48306
163.10521,59.818916
163.1052,59.1921
163.10518,58.600517
163.10516,58.042183
163.10515,57.51523
163.10515,100.13703
163.10513,132.99017
163.10512,128.25078
163.1051,123.77776
163.1051,119.55615
163.10509,115.571815
163.10509,111.81142
163.10507,108.262375
163.10507,104.912796
163.10506,101.75149
163.10506,98.76786
163.10504,95.95193
163.10504,93.294266
163.10503,90.785965
163.10503,88.418655
163.10503,86.184395
163.10501,84.075714
163.10501,82.08554
163.10501,80.20724
163.10501,78.4345
163.105,76.7614
163.105,75.182335
163.105,73.69202
163.105,72.28547
163.10498,70.95797
163.10498,69.705086
163.10498,68.52262
163.10498,67.40662
163.10498,66.35333
163.10498,65.35925
163.10497,64.42104
163.10497,63.53557
163.10497,62.69986
163.10497,61.91112
163.10497,61.166718
163.10497,60.46415
163.10497,59.801067
163.10497,59.175255
163.10497,58.584618
163.10495,58.027176
163.10495,57.501064
163.10495,57.004524
163.10495,56.535892
163.10495,56.093597
163.10495,55.676167
163.10495,55.282192
163.10495,54.910362
163.10495,54.559433
163.10495,54.228226
163.10495,53.915634
163.10495,53.620613
163.10495,53.342175
163.10495,53.079384
163.10495,52.83136
163.10495,52.597282
163.10495,52.376358
163.10495,52.16785
163.10495,51.97106
163.10493,51.785336
163.10493,51.610046
163.10493,51.44461
163.10493,51.28847
163.10493,51.14111
163.10493,51.00203
163.10493,50.870766
163.10493,50.74688
163.10493,50.62996
163.10493,50.519608
163.10493,50.41546
163.10493,50.31716
163.10493,50.224392
163.10493,50.136837
163.10493,50.054203
163.10493,49.97621
163.10493,49.902603
163.10493,49.833134
163.10493,49.767567
163.10493,49.70569
163.10493,49.647285
163.10493,49.592167
163.10493,49.540142
163.10493,49.491047
163.10493,49.444706
163.10493,49.400974
