Cell 8,Cell 11,Cell 55,Cell 69,Cell 70,Cell 83,Cell 245,Cell 361,Cell 363,Cell 401,Cell 443,Cell 457,Cell 552,Cell 554,Cell 572
11147.20044257667,5085.190385510682,157.79298511136378,14034.93857379457,341.31579647672174,-2710.5474663962423,160.9254433779689,274.5236056773485,179.58924445711938,239.7709443787597,98.19189493636401,5856.8265032009,-1343.0826861652927,924.3404147157593,1070.6134258714799
10611.58617288332,6584.641544359428,157.79298511136378,12600.820499583811,341.31579647672174,-2710.5474663962423,160.9254433779689,274.5236056773485,179.58924445711938,219.08326178568146,847.1223885537963,5561.317722057653,-1343.0826861652927,863.8668375289062,1030.6257541307507
10103.008036602178,7734.003350780772,157.79298511136378,11273.412379624859,341.31579647672174,-2710.5474663962423,160.9254433779689,274.5236056773485,179.58924445711938,199.43894464527682,1934.0609774732588,5281.1561084718705,-1343.0826861652927,807.5785024156521,992.3727626023419
9620.101775890482,7386.292416301458,157.79298511136378,10044.773784727702,341.31579647672174,-2710.5474663962423,160.9254433779689,382.04439425386823,179.58924445711938,180.78541117173884,1775.1526269283488,5015.544299183672,-1343.0826861652927,755.1857364985224,955.7790118315392
9161.571492281988,7509.992122258085,157.79298511136378,8907.555105977817,341.31579647672174,-2710.5474663962423,160.9254433779689,377.21425481942134,179.58924445711938,163.0726735733368,1628.2271884512436,4763.7269231195505,-1343.0826861652927,706.4188864330835,920.7727855082381
8726.186716999402,7118.664000657689,394.36346711107404,7854.955074270073,341.31579647672174,-2710.5474663962423,160.9254433779689,589.33084401339,179.58924445711938,146.2532770172617,1956.7997506318748,4524.987671704953,-1343.0826861652927,661.0270977047082,887.2849918341085
8312.779481266814,7450.256282933282,375.94476581049884,9364.143944558675,341.31579647672174,-2710.5474663962423,160.9254433779689,575.1887533665487,179.58924445711938,130.28214704173934,1796.176800204071,4298.646857458093,-1343.0826861652927,618.7767277143719,855.2499569796421
7920.24089834088,7062.054137868228,358.9600855160375,10130.817724649294,341.31579647672174,-2710.5474663962423,160.9254433779689,561.6819166620317,179.58924445711938,115.11652089148114,2032.1713446866563,4084.0609257087176,-1343.0826861652927,579.450430251226,824.6044485216318
7547.516280698204,6694.167422314189,623.679874963417,10930.720994845487,341.31579647672174,-2710.5474663962423,160.9254433779689,548.7818915154114,179.58924445711938,100.71580255919187,1865.8647996021864,3880.619524910683,-1343.0826861652927,542.845812719041,795.2884078650626
7193.605628316604,7550.005305504227,587.4072917021507,9727.58239835068,341.31579647672174,-2710.5474663962423,160.9254433779689,536.4613341751351,179.58924445711938,87.04135679192217,1712.099028002638,4074.5990118997847,-1343.0826861652927,508.7744595736189,767.2440347157483
6857.559722425026,7156.582945640774,553.9587441051485,9268.751372410301,341.31579647672174,-2710.5474663962423,160.9254433779689,524.6943046983233,179.58924445711938,74.05660827319511,1569.928351026216,3871.649066166705,-1343.0826861652927,477.0611083481103,740.4162753615917
6538.476707534713,6802.025819814685,523.1143835380617,10177.424167041763,341.31579647672174,-2710.5474663962423,160.9254433779689,513.455900739812,179.58924445711938,281.13662023410154,1438.478378884997,3679.2391592136655,-1343.0826861652927,447.54255102010313,714.7522123210096
6235.500138314169,6447.747502579924,494.6715122455679,9798.998409501255,341.31579647672174,-2710.5474663962423,160.9254433779689,526.4035943461705,179.58924445711938,258.3626644993365,1316.9407618406553,3496.8219277740855,-1343.0826861652927,420.0669015896829,690.2014305538772
6557.050926696721,6112.0092242466,468.4431185076101,8680.068792105507,341.31579647672174,-2710.5474663962423,160.9254433779689,515.0884081567365,179.58924445711938,236.7373140828026,1204.56806325052,3468.4046922075054,-1343.0826861652927,762.1361155382195,666.7155902154266
6253.136857455382,5793.841258260635,444.25677800657735,7644.394540587314,341.31579647672174,-2710.5474663962423,160.9254433779689,504.2814922598377,179.58924445711938,216.20261610507586,1196.7887651345402,3296.936923365119,-1343.0826861652927,741.8293510264173,644.2486097617183
