Cell 1,Cell 11
106.70123,-120.550766
295.67188,-120.550766
279.09027,205.87167
267.45306,189.00594
253.34761,173.01158
240.47986,157.84364
228.74121,143.45943
218.0326,129.8184
208.26363,222.54407
199.35185,204.81686
191.22205,188.0056
183.80562,172.06294
177.03995,156.94402
170.86795,142.60628
165.23753,129.00934
160.10117,136.50954
155.4155,123.227615
151.14096,110.63194
147.24152,98.68707
143.68423,87.35938
140.4391,76.61697
170.77014,66.4296
165.14832,56.76861
160.01976,47.606777
155.34123,38.91833
151.07323,30.678799
147.17972,22.864988
143.62787,15.454908
140.38768,8.427703
137.4318,1.7635725
134.73529,-4.556228
132.27539,21.463331
130.03134,14.1256695
276.3794,7.167136
261.4907,0.56813806
247.90842,-5.689895
235.51794,-11.624587
224.21469,-17.252645
213.90326,-22.58991
204.49663,-3.3542018
195.9154,-9.409575
233.0511,-15.152075
265.0912,-20.597868
251.19296,-25.762287
238.51428,-30.65987
226.94812,-35.3044
324.89944,-39.708958
305.75323,-43.885937
288.28708,-47.847095
272.35352,-38.714596
257.81805,-42.94295
244.55803,-46.95283
232.46155,-50.755524
221.42648,-54.36174
211.35971,-57.78163
202.17625,193.14981
344.04678,176.94139
323.22046,161.57042
304.22162,146.99364
286.88983,133.17001
271.07886,120.06064
256.6552,107.6286
243.49724,95.83892
231.49384,84.65838
220.54367,74.05552
210.55437,64.000496
201.44159,54.465004
193.12842,45.422207
185.54471,36.84663
202.47249,28.714138
194.06888,201.67819
186.40265,206.49835
179.40909,189.6002
173.0292,173.57515
167.20914,158.3781
161.89977,143.96626
157.05627,130.29906
152.63779,117.33801
148.607,105.046646
144.9299,93.39037
141.57545,103.48993
138.51535,91.914085
191.08731,80.93633
183.68271,70.525795
176.92783,60.653145
337.1427,51.29061
316.92218,42.41183
298.47595,33.991787
281.64835,179.41484
266.2973,189.50685
252.29326,173.48662
239.51802,158.29414
227.86377,143.88664
217.23215,130.22356
207.53342,117.26642
198.68571,204.75916
190.61438,187.95088
183.25127,172.01106
176.53424,156.89482
170.40662,142.55962
164.81668,212.17538
159.71724,194.98392
155.06525,178.68071
150.82147,163.21986
146.95006,148.55785
149.84097,216.65948
146.0556,199.23633
142.60239,182.71342
139.45216,365.3791
136.57838,340.27182
133.95676,316.4618
131.56517,293.882
129.38344,272.46887
127.39315,252.16214
125.5775,232.9046
123.921165,214.64209
122.41017,328.8353
121.03176,305.61618
119.77431,283.59677
222.53464,262.71506
212.37064,242.91226
203.09848,224.13266
252.4621,206.32336
239.67204,189.43428
228.00427,173.4178
217.36032,158.22887
207.65034,143.82472
198.79239,130.16483
194.18597,117.210724
186.50946,250.03311
179.50655,309.90573
173.1181,287.66467
167.29024,266.57278
161.97375,246.57068
157.12376,227.60205
152.69934,209.6135
148.66316,192.55438
144.98114,176.37672
141.6222,161.03493
138.558,146.4858
135.76266,132.6884
133.21262,119.6039
130.88632,107.195465
128.76416,95.428154
126.82822,84.26884
125.06213,73.686104
123.45102,63.65017
281.67416,54.132774
266.32086,45.107143
252.31474,131.87755
239.53763,118.834946
227.88165,106.46623
217.24847,94.73661
207.54831,83.61303
198.6993,73.064186
190.62677,332.70627
183.26257,309.28714
176.54456,287.07803
170.41603,266.01645
164.82526,246.04309
159.72507,264.64542
155.07239,244.74289
150.82797,225.86871
146.956,207.96973
143.42377,190.99556
140.20148,275.87173
137.26195,255.38916
134.58034,235.9649
132.13403,217.54425
129.90239,200.07538
127.86656,183.50911
126.00937,167.79878
124.31514,152.90019
122.76958,138.77138
121.359634,125.37259
120.0734,112.66609
118.90004,100.61612
117.829636,89.18876
116.85315,78.35183
115.96236,68.07482
115.14972,58.32882
114.408394,49.086372
113.73212,40.32147
113.11517,32.00944
112.552376,416.31683
112.038956,388.57767
111.57059,362.2718
111.14332,337.32507
110.75354,313.6673
110.397964,291.2319
110.073586,269.9557
109.77767,249.77881
109.50772,230.64441
109.26147,212.49866
109.03681,195.2905
108.83187,178.97145
108.64491,163.49559
108.474365,148.81932
108.31878,134.90137
108.17684,121.70253
108.04736,109.18565
107.929245,97.315506
107.82149,356.1108
107.72319,331.4824
107.633514,308.1265
107.55171,285.9774
107.47709,264.9727
107.409004,245.05325
107.3469,226.16302
107.290245,208.24884
107.23856,191.26027
107.191414,186.57079
107.1484,170.70226
107.10916,155.65364
107.07337,141.38255
107.04072,127.84885
107.010925,115.014404
106.98375,102.843094
106.95896,91.30067
106.93635,80.35462
106.91572,111.09036
106.8969,99.12181
106.87973,87.77166
106.86407,77.00794
106.84978,140.63179
106.83675,127.13687
106.82485,114.33922
106.814,102.202805
106.80411,90.69346
106.79508,79.778786
106.78685,69.42805
106.779335,59.612114
106.772484,229.56961
106.76623,211.4794
106.76053,194.32388
106.755325,178.0548
106.75058,162.6263
106.74625,147.99495
