Cell 121,Cell 255,Cell 370,Cell 372,Cell 375,Cell 378,Cell 388,Cell 390,Cell 396,Cell 409
175.08467,1757.5115,242.81633,156.9272,134.28343,130.91415,473.60632,86.79802,268.73938,318.23676
175.08467,1610.1652,242.81633,156.9272,134.25189,130.91415,461.4646,86.79802,259.6005,318.23676
175.08467,1471.0634,242.81633,156.9272,134.22395,130.91415,449.8399,86.79802,251.15039,318.23676
175.08467,1339.7446,242.81633,156.9272,134.19919,130.91415,438.7102,86.79802,243.33713,318.23676
175.08467,1215.7732,242.81633,156.9272,134.17725,130.91415,428.05447,86.79802,236.11273,318.23676
175.08467,1098.738,242.81633,156.9272,134.1578,130.91415,417.85248,86.79802,229.4328,318.23676
175.08467,988.2513,242.81633,156.9272,134.1406,130.91415,408.08493,86.79802,223.2563,318.23676
175.08467,883.94635,242.81633,156.9272,134.12534,130.91415,398.73328,86.79802,217.54532,318.23676
175.08467,785.4775,242.81633,156.9272,134.11182,130.91415,389.77985,86.79802,212.26474,318.23676
175.08467,800.8853,242.81633,156.9272,134.09984,130.91415,381.2077,86.79802,207.38213,318.23676
175.08467,1078.0343,242.81633,156.9272,134.08922,130.91415,373.00055,86.79802,202.86751,318.23676
175.08467,968.706,242.81633,156.9272,134.07982,130.91415,365.1429,86.79802,198.69315,318.23676
175.08467,865.49475,242.81633,156.9272,134.07149,130.91415,357.61987,86.79802,194.83337,318.23676
175.08467,768.05817,242.81633,156.9272,134.0641,130.91415,350.41714,86.79802,191.26451,318.23676
175.08467,676.07336,242.81633,156.9272,134.05757,130.91415,343.5212,86.79802,187.96461,318.23676
175.08467,1315.0165,242.81633,156.9272,134.05177,130.91415,336.91882,86.79802,184.91342,318.23676
175.08467,1192.4286,242.81633,156.9272,134.04665,130.91415,330.59766,86.79802,182.09218,318.23676
175.08467,1524.9613,242.81633,156.9272,134.0421,130.91415,324.54562,86.79802,179.48355,318.23676
175.08467,1390.6266,242.81633,156.9272,134.03806,130.91415,318.7513,86.79802,177.07155,318.23676
175.08467,1263.8082,242.81633,156.9272,134.0345,130.91415,313.20377,86.79802,174.84132,318.23676
175.08467,1144.0854,242.81633,156.9272,134.03133,130.91415,307.89243,86.79802,172.77917,318.23676
