Cell 36,Cell 43,Cell 85,Cell 110
1021.3172978053819,463.910124954067,258.41432134895103,7713.635290822543
960.625221593204,463.910124954067,355.2815448799802,6951.584554164098
904.1383454776357,463.910124954067,350.0450028338818,6266.929320789341
851.5653486647335,463.910124954067,345.0915723761632,5651.808751314497
802.6349909264891,463.910124954067,1358.3418741885755,5099.160834434054
757.0948918977323,463.910124954067,1298.8809333042009,4602.641820519217
714.710127267571,463.910124954067,1242.6344701418489,4156.549561466147
1212.7454549333486,463.910124954067,1189.4285344963066,3755.7632079651175
1138.7897681926452,463.910124954067,1139.0989417879164,3395.681686066612
1069.9583489097918,463.910124954067,1091.4901744297015,3072.1707186687977
1005.8960945540612,463.910124954067,1046.4550156164078,2781.5159505202714
946.2725607972715,463.910124954067,1003.8543662190244,2520.3807118944037
890.7801304591432,463.910124954067,963.556695468346,2285.766956091626
839.132731769047,463.910124954067,925.4374916385357,2074.9808356133194
791.0637631707407,463.910124954067,889.3789568713262,1885.6027949370018
746.3254219356653,463.910124954067,855.2697020002214,1715.4582736430434
704.6868731083017,463.910124954067,823.0043803395376,1562.593902705121
665.9333339788471,463.910124954067,792.4832604382858,1425.254799413422
629.8649754504296,463.910124954067,763.6121040098524,1301.864059563344
596.295640300856,463.910124954067,736.3016776507205,1191.0050572612188
565.0522938662189,463.910124954067,710.4675697349924,1091.4052095736995
535.9736812674907,463.910124954067,686.0300683440681,1001.9209008450484
508.9098391292852,463.910124954067,662.9136119502097,921.524787385381
483.72121057011225,504.7848807448617,641.0468504516996,849.2938345807402
460.27782122778825,503.12335120663386,620.3621568915637,784.3987578116827
438.4587604606199,501.5293570686833,895.6457418959855,726.0945620046147
418.1515099607012,500.00018226656147,861.1976808532528,673.711874640111
399.2513028847883,498.53314125339784,828.6118635688584,626.6492553236773
381.6606050554828,497.1257315877905,797.7875820292577,584.3664208838036
365.2887487503035,495.77557289864956,768.6296824204409,546.3778977160848
350.05126131498315,494.4802542973072,741.047954776336,512.2475896546331
335.86952947011685,493.2376090357203,714.957316084288,481.58355946652324
322.67043310023337,492.04547036584546,690.2771388983012,454.03384794383464
310.38585697255655,490.9017936099518,666.9310682335612,429.2821709253873
298.95244659638587,578.1088247136347,682.2778708648771,407.0443182227335
288.31124201216767,573.4667959128294,659.364295341941,387.0649492746429
278.4073115805664,569.0133657445201,637.6893673504434,369.11475501250226
269.1895993945772,564.7410268845008,617.1861313201669,352.9876197257161
260.61058958617474,560.6423330437215,597.7912937904778,338.498362761058
252.6259706329616,556.710265179225,579.4449792696869,325.4806938450552
245.19458958180215,552.9379873535229,562.0904250592508,313.7851073712217
238.27813161425973,549.3190908752198,545.6739812537724,303.2773260036648
231.84089116476622,545.8472891232323,1086.0612190425734,293.83677479826815
225.84966510910087,542.516600652258,1041.3195172772325,285.3549942887219
220.27353914134872,539.3212881576192,998.9965168214335,277.73463340650386
215.08378096237945,536.2559195104186,958.9614803630473,270.88822877782576
210.25361139801694,533.3151236169151,921.0906896333136,264.73716712603766
205.75812810509566,530.4938345591488,885.2671402310415,259.21080026191413
201.57410720720762,527.7872915949398,851.3801754116513,254.24571266182227
197.67997277712485,525.1907339821089,819.325058841057,249.78488223437213
194.05567476648983,522.6997061542571,789.0028525253456,245.77710048646642
190.68249064156234,520.3099966856104,760.3198064591813,242.17636217177375
187.5430406420081,518.0173941503945,733.187297590645,238.94134649193072
184.6211046754344,533.8021231278168,750.4652526756274,236.03485252137983
181.90160705860131,530.9610586794586,723.8655197163216,233.42355506675855
179.37055548226698,528.2354727465316,698.7037751201127,231.0774706093136
177.01484264693437,525.6207266571687,674.9021990583526,228.96965212913742
174.8223835919496,523.1122427746587,652.3873051987337,227.0759144469811
172.78182577851666,520.7057486380713,631.0895134591705,225.37449853091482
170.88265590121821,518.3970328216325,732.33707781569,223.84588839086956
169.11506255891743,516.1821890753486,706.7173253809124,222.4725364204503
167.46995151354645,514.0573721843823,682.4825827905912,221.23864977390141
165.938823619797,512.018920039365,813.6977391848258,220.1300835545897
164.5137900839089,510.0633536363961,783.6797321051788,219.13411193318169
163.18748091093795,508.18725500673133,755.2844668171131,218.23927555976198
