Cell 2,Cell 4,Cell 9,Cell 15,Cell 20,Cell 28,Cell 31,Cell 39,Cell 40,Cell 41,Cell 58,Cell 59
155.56534,50.41869,40.039406,201.23882,33.761482,391.49106,188.28677,197.71445,137.54036,150.88785,83.625694,36.924007
147.83632,49.227028,39.10746,186.71286,30.913425,364.82285,176.26898,177.8128,131.66684,141.50113,80.0927,36.924007
140.51015,48.116753,38.224113,173.22743,28.29542,449.06625,165.15984,159.07608,126.13553,132.66519,76.79612,36.924007
133.56581,47.082306,37.38683,160.70801,25.88888,419.78104,154.89066,161.98769,120.92647,124.34774,73.72014,36.924007
126.983444,46.1185,36.593212,149.08537,23.676725,391.82693,145.3979,338.33722,116.0209,116.51833,70.85,36.924007
120.74415,45.22052,35.840977,138.2953,21.643255,365.14346,136.6229,310.2044,111.40113,109.14834,68.171936,36.924007
114.830055,44.383865,35.12797,128.27815,19.774036,383.04337,128.51135,283.71832,107.050514,102.21079,65.67308,36.924007
109.22421,43.60435,34.45215,118.97857,18.055801,356.75912,121.01312,377.34912,102.95337,164.91782,63.34143,36.924007
103.91055,42.878075,33.811565,110.34513,116.50602,331.6696,114.08183,346.93283,99.09493,154.70786,61.16582,36.924007
98.87385,42.201397,33.20439,175.25377,106.97435,307.72043,107.67459,318.2969,95.46129,145.09698,59.135796,36.924007
94.09966,41.57093,32.628876,166.46906,146.2855,284.85983,101.7518,291.33713,92.03935,136.05006,57.241615,36.924007
89.57432,40.983524,32.083374,154.43375,134.34845,339.7197,96.27684,265.9554,88.81677,127.53399,55.474197,36.924007
85.284836,40.436234,31.566322,143.26056,123.37559,315.40463,91.21582,242.05939,85.78195,119.517624,53.825047,36.924007
81.218925,39.92632,31.07623,132.88774,113.28904,425.7353,86.53746,219.56209,82.923935,111.971634,52.28625,36.924007
77.36494,39.45123,30.611696,123.25796,104.01723,397.5106,82.21283,198.3816,80.23244,104.86842,50.850433,36.924007
73.711815,39.008587,30.171387,114.31798,95.49434,370.56876,78.21518,178.44093,77.69775,98.18201,49.510704,36.924007
70.249115,38.59617,29.75404,106.01839,87.659874,418.45862,141.17857,159.6674,75.31073,91.88794,48.26062,36.924007
151.94235,38.21192,29.358456,98.313324,80.45824,390.56467,132.72258,141.9928,105.12798,85.963196,47.09419,36.924007
144.40216,37.85392,28.9835,91.160194,73.838295,363.93857,124.905945,460.31827,101.14285,80.3861,55.8159,36.924007
137.25497,37.520363,28.628098,84.51946,67.75308,441.81482,117.68031,474.37268,97.38989,75.13626,54.143887,36.924007
142.48079,37.209587,28.29123,78.35442,62.159386,412.8593,111.00101,443.1066,167.7325,70.194466,52.583755,36.924007
135.43373,36.920033,27.971928,72.631,57.01752,385.2198,104.826706,408.84128,160.09995,65.54264,51.128033,36.924007
128.75401,36.650253,27.669277,67.31756,52.290985,358.83664,99.11925,376.5816,152.91208,61.16377,51.588608,36.924007
122.42243,36.398903,27.382408,62.38473,47.946228,333.65268,93.84332,346.21024,146.143,236.73027,50.19947,36.924007
116.42086,36.16472,27.1105,57.805256,43.952415,359.23642,88.96631,317.6166,139.76828,222.30652,48.903297,36.924007
110.7321,35.94652,26.852772,53.55382,40.281197,334.03427,84.45804,290.69666,133.76495,209.17613,47.693863,36.924007
