Cell 9,Cell 21,Cell 61,Cell 63,Cell 76
9.230472,61.26693,-1.4142586,72.38264,346.80194
8.860174,56.76364,-1.8190554,72.31831,327.5152
8.509914,52.453194,-2.2043388,72.25714,309.2285
8.17861,48.32733,-2.57105,72.19898,291.88992
7.865234,44.378143,-2.9200826,72.14368,544.52185
7.568815,40.59807,-3.252291,72.09109,514.9835
7.288438,36.979866,-3.5684853,72.041084,486.97675
7.023233,148.54839,-3.8694372,71.993546,460.42206
6.77238,140.30754,-4.155882,71.94833,435.24423
6.5351014,132.41957,-4.4285173,71.90535,449.71613
6.3106627,124.869385,-4.6880116,71.86447,545.92523
6.09837,117.64252,-4.9349966,71.82561,565.7206
5.8975654,110.72511,-5.170076,71.78865,535.08307
5.707627,104.10393,-5.393823,71.75351,506.03415
5.527967,97.76628,-5.606785,71.72009,478.4914
5.3580294,91.70003,-5.80948,71.688324,452.37668
5.197288,85.89354,-6.002405,71.65811,427.616
5.045245,80.33569,-6.18603,71.62939,424.02484
4.90143,75.01585,-6.360803,71.60207,400.73416
4.7653975,69.923805,-6.527151,71.5761,378.6511
4.6367264,65.04981,-6.6854806,71.55141,357.713
4.515018,60.384537,-6.8361773,71.52792,337.86057
4.399896,55.919037,-6.97961,71.50559,319.03745
4.291004,51.64476,-7.1161284,71.48436,301.19028
4.1880045,47.553513,-7.246066,71.46417,284.26846
4.0905786,43.637466,-7.3697405,71.44498,268.22403
3.9984252,39.889107,-7.4874525,71.42673,253.01152
3.9112587,36.30126,-7.5994906,71.40937,238.58774
3.828809,181.49799,-7.7061276,71.39287,427.6119
3.7508209,171.84616,-7.8076243,71.377174,404.13525
3.6770532,204.37778,-7.904228,71.36226,381.87582
3.6072776,193.7462,-7.9961753,71.34807,360.77054
3.5412776,183.56989,-8.08369,71.33458,340.75955
3.4788494,173.82935,-8.166986,71.321754,428.20178
3.4197996,164.5059,-8.246267,71.309555,541.7118
3.363945,223.23714,-8.321726,71.29796,512.3192
3.311113,251.42549,-8.393548,71.28693,484.45056
3.26114,379.36108,-8.461907,71.27644,458.02686
3.2138715,361.23633,-8.526972,71.26647,432.9732
3.1691606,386.5692,-8.5889,71.25699,409.21857
3.1268694,368.13586,-8.647842,71.24798,386.6956
3.0868666,350.49182,-8.703942,71.2394,365.3404
3.0490289,333.60333,-8.7573395,71.231255,345.09247
3.0132384,317.43805,-8.808162,71.2235,325.89438
2.979385,419.4734,-8.856535,71.21613,307.69168
2.9473634,399.63098,-8.902576,71.20913,290.4328
2.9170747,380.6383,-8.946398,71.20247,274.06876
2.8884249,362.45886,-8.988107,71.19613,258.5532
2.8613255,345.05792,-9.027806,71.19011,243.84213
2.835693,328.40216,-9.065591,71.18438,229.89377
2.8114471,312.4596,-9.101555,71.17893,216.66864
2.7885134,297.19977,-9.135784,71.17375,204.12921
2.7668207,282.59332,-9.168365,71.16883,192.23994
2.7463021,268.61243,-9.199373,71.16415,180.96713
2.7268934,255.23018,-9.2288885,71.15969,170.27881
2.7085354,242.421,-9.25698,71.15546,160.14464
2.6911707,256.1864,-9.283718,71.151436,150.53595
2.6747458,243.33626,-9.309166,71.147606,141.42543
2.6592097,231.03639,-9.333388,71.14397,132.78731
2.6445143,219.26323,-9.356442,71.1405,124.59708
2.630614,207.99423,-9.378386,71.137215,116.831474
2.6174662,197.2078,-9.399271,71.13409,109.468544
2.6050298,186.88326,-9.419149,71.13111,102.48735
2.5932662,177.00082,-9.43807,71.12828,95.86813
2.5821395,167.54158,-9.456078,71.125595,89.59212
2.5716147,158.4874,-9.473218,71.12303,83.64151
2.5616596,149.82094,-9.489532,71.120605,77.999435
2.552243,141.52559,-9.505059,71.118286,72.649895
2.5433362,168.10612,-9.519838,71.11609,67.57773
