Cell 17,Cell 21,Cell 44
109.79350406222001,140.5036499106778,198.82978848461306
109.79350406222001,140.5036499106778,198.82978848461306
109.79350406222001,140.5036499106778,198.82978848461306
109.79350406222001,140.5036499106778,198.82978848461306
109.79350406222001,140.5036499106778,198.82978848461306
109.79350406222001,140.5036499106778,198.82978848461306
109.79350406222001,140.5036499106778,198.82978848461306
109.79350406222001,140.5036499106778,198.82978848461306
109.79350406222001,140.5036499106778,198.82978848461306
109.79350406222001,140.5036499106778,198.82978848461306
109.79350406222001,140.5036499106778,293.05447428464055
109.79350406222001,140.5036499106778,288.4787296493687
109.79350406222001,140.5036499106778,284.12521401831225
109.79350406222001,140.5036499106778,279.98309365122174
109.79350406222001,140.5036499106778,276.04214515941106
109.79350406222001,311.042426207926,272.2925724002886
109.79350406222001,301.420294650705,268.72509803009126
109.79350406222001,292.3410097849944,265.3308414335724
109.79350406222001,283.773992996847,262.101410276736
109.79350406222001,275.6903746567278,259.02883947168027
109.79350406222001,268.06287204919875,256.10543858870705
109.79350406222001,260.8656978201827,253.32403599694706
109.79350406222001,254.0746057533311,250.6776889473671
109.79350406222001,247.6666924057625,248.1598666782394
279.1959260419152,241.62030555532553,245.76429782725052
267.68222351777075,235.91508997696752,243.48507724302505
256.95105274084955,230.5317738196828,241.31652865602388
246.94923683066102,225.45218386530215,239.25329623127857
237.62721523976393,220.65919975212452,237.29025301565702
228.938784354349,216.13664716339144,235.4225467142306
220.8408686124006,211.8692673097081,233.6455233963288
213.29333739822582,207.84265589388573,283.86782876404794
206.25879141940504,204.04324785215235,279.7382206040061
199.70236434253206,200.4582105426269,275.80914345010257
193.5915549465324,197.0754437453193,272.07089271248014
187.89608979356007,193.88354914455158,268.5141605297978
182.58770960594845,190.87173877622166,265.1301578395432
177.64013874863164,188.0298502865925,261.91049230772035
173.02881057093833,185.34833167350303,258.8471683288494
168.7309284417486,182.81808869847384,255.93261754354478
164.72513005613087,180.4306069570227,253.1596072857808
160.99160950565567,178.17784506713846,250.52124058289164
157.5118426201895,176.05218889291316,248.01100193193855
154.26858696789466,174.0464668033312,245.62268100576443
151.24575978491552,172.1539038959013,243.35032687662667
148.42839219901072,170.36812199665638,241.18832431014238
145.8025071592393,168.68310914257492,239.13131747134324
143.3550889183822,167.09315854642324,237.1741946658862
141.07402199778534,380.00647800289363,235.31211885763167
138.947984375835,366.4932025620976,233.5404666334873
136.96644748795774,353.74237830978234,231.8548587209861
135.11959993267425,341.71100597743316,230.25109895313003
133.39827117765319,330.35843615010236,228.72522004475726
131.79393155971113,319.6464303015664,227.2734378161751
130.2986312496557,309.5387945833808,225.89216645194884
128.90496973470698,300.0014713776163,224.57795746574556
127.60602715394609,291.0022646386498,223.3275759942795
126.39536429831504,282.5108093755856,222.1379245033667
125.2669920930384,274.49844958194024,221.00604278792486
124.21531056246623,266.9381772004848,219.92912323076263
123.23510883007413,259.80444901777236,218.90449554379032
122.32152697149014,253.07324769929554,217.92962676802006
121.47004075570558,246.72183764885594,217.0021060147766
120.67642349810183,240.72876500856452,216.1196292069083
119.93674606045036,235.07385765884126,215.2799990787871
119.24734633333435,261.8073787488951,214.48114043509764
118.60479871857014,254.96314031858134,213.72108489204808
118.0059217586018,248.5051018478507,212.99794035979207
117.44775524831742,242.41141275028977,212.30990630121772
116.92751445868126,236.6615652129519,211.65528899073672
116.44264354249614,231.23611953814807,211.03245573791713
115.99072398166803,226.11679569618326,210.43986540506148
115.56952036357372,221.28632073746257,209.87606840720684
115.17694223408775,216.72838301612288,209.33963041817933
114.81104409758244,212.42761693124365,208.8292544409068
114.47001778753321,208.36951137411035,208.34365873710627
114.1521772077294,204.54037921063585,207.88165312122916
113.85592781469573,200.9272809874133,207.44207792530514
113.57982002345473,197.51804019050567,207.02384977530923
113.32247291358046,194.30116695149863,206.62593107358379
113.08262000556623,191.26579701234309,206.24732999883835
112.8590711138516,188.40169172535508,205.88713102372787
112.65071997621688,185.6991770180583,205.5444033621183
112.45652136559934,183.14914339318403,205.21833829818812
112.2755216076717,180.743000152303,204.90809659853775
112.10682806326358,178.47259910187836,204.61291532371305
111.94960149896697,176.3303108472127,204.33207731062703
111.80305608713616,174.30890272213284,204.0648806549819
111.66647466467701,214.22104348397536,203.8106539700579
111.5391782154685,210.06174163557557,203.56877164550266
111.42052587036267,206.13711996806822,203.33863858854187
111.30994542476313,202.43393385225863,203.1196749651904
111.20687993286275,198.9397015984218,202.91134671783024
111.11081822522209,195.64261290356615,202.7131503064217
111.02127964998019,192.53154411022285,202.52456693213594
110.93783696103841,189.59601243007765,202.34513883130037
110.86005528290352,186.8261149088133,202.17442349903163
110.7875684046338,184.2125131673202,202.01200894802443
110.72000248589299,181.7463571077493,201.85746793218445
110.65702946271246,179.41936120745925,201.71043424057365
110.59834415930749,177.2236519311223,201.5705569210431
110.54364139989335,175.15182876588193,201.43745450386575
110.49265415565837,173.19690318619536,201.3108218132599
110.44513828597479,171.35226813625462,201.1903384146548
110.4008496502148,169.61172854756538,201.07569913226874
110.35956699593447,167.96939452742123,200.96664456668736
110.32109195887372,166.41971187648252,200.86286954212892
110.2852338041671,164.95746208877614,200.7641451767572
110.25181705573837,163.577731834117,200.6701968123687
110.22066623751132,162.2758366641609,200.5808260847053
110.19162876159358,161.04741256514086,200.49578885314168
110.16457492827662,159.88827862876275,200.41488675341978
110.13935214966808,158.79455912252027,200.33792142128144
110.1158459848487,157.76254616059046,200.26467923367954
110.09393436350457,156.78876073899133,200.19499234393416
110.07351810350565,155.86992221800298,200.12869290536537
110.05448276393267,155.00291780458886,200.06562833008232
110.03675205083944,154.18484832876393,200.00560025382694
110.0202191527013,153.412921432069,199.94850186507563
110.00480777557206,152.68454312030687,199.89418057593755
109.99044162550555,697.5777129467634,199.842499057311
109.97705966734483,666.1463768129876,199.7933199800941
109.9645856071437,636.4884782178361,199.74652127397434
109.95295840974521,608.5039195028792,199.7020113862171
109.94211703999243,582.0983403144991,199.65965298772068
109.93201572151762,557.1826293226299,199.61935452575054
109.92260104855848,533.6726800801274,199.58100918878313
109.91382724474728,511.4892689524537,199.54452542408396
109.90564853371632,490.5574447661014,199.50981167891848
109.89802676849251,470.8066508789088,199.47679165934127
109.89092380210275,452.1702368987992,199.44537381261787
109.88430148757395,434.58533661346604,199.41548184480285
109.87812930732764,417.9926238497422,199.3870394619508
109.87237674378535,402.3360683329698,199.35997037011626
109.86702090876321,387.5629356870004,199.334228792932
109.86202365528814,373.62329915293407,199.30973843645262
109.85736209517627,360.47019217701353,199.2864230067327
109.85302859903301,348.05921168209983,199.26425198619404
109.84897739049062,336.34845703251483,199.24314908089124
109.84520846954912,325.29846899888344,199.22308377324615
109.84169131863003,314.8719550999247,199.20397976931332
109.83841830833872,305.03369804971544,199.1858065515146
109.83536655049134,295.75055575769,199.16851834348273
109.83252078629867,286.9911866704314,199.15206936885048
109.82987338636607,278.7260192540925,199.13641385125058
109.8274014625097,270.92722147681707,199.12152127310486
109.82509738533493,263.56842615053097,199.10736111683516
109.82294589605253,256.6248530012569,199.09388760607422
109.8209469946625,250.07304926969505,199.0810549644548
109.81907779298099,243.8909049700123,199.06884793318784
109.8173459204026,238.0575613371059,199.0572512534842
109.81572085934889,232.55336505023539,199.04620389018757
109.81421023921443,227.35971564512838,199.0356905845089
109.81280643060464,222.45911129034906,199.02569607765903
109.81149417473027,217.834996199404,199.0161745932708
109.81027347159132,213.4718064071105,199.00712613134414
109.80912906239855,209.3547714053344,198.99852017430092
109.8080685765466,205.47005147209453,198.99032620456296
109.8070767552462,201.80450878972195,198.98252896334117
109.80615359849737,198.3457684800175,198.97511319184648
109.80529910630011,195.08218808667291,198.96804837250073
109.80449801986516,192.0027507637451,198.96133450530388
109.80375033919256,189.09706527565618,198.9549410726778
109.80304843488767,186.3553202208253,198.94886807462248
109.8023999363451,183.7682687728792,198.94308499355975
109.80179721417025,181.327182904284,198.9375918294896
109.80123263896849,179.0238381275559,198.9323580648339
109.8007062107398,176.8504372013142,198.92736844080352
109.80021792948423,174.7996711654387,198.92263821618755
109.79976016580713,172.8646125295442,198.91812161461877
109.7993405491031,171.0387457905591,198.91383389488624
109.79894382058295,169.31589113877845,198.9097445394118
109.79856998024665,167.69023497544288,198.90586880698453
109.79822665748883,166.15631465394898,198.90217618002626
109.79790622291485,164.7089269271132,198.89865139974793
109.79760867652473,163.3432194999079,198.89530972493858
109.79732638892385,162.05455370035708,198.89213589680918
109.79706698950682,160.83861129106202,198.8890993977815
109.79682284887903,159.69127239888613,198.88623074543378
109.7966015964351,158.60866129132307,198.8834841633987
109.79638797338578,157.58713111770754,198.8808749104654
109.79619723852032,156.62324865042564,198.87838772784474
109.79601413304948,155.71374850854693,198.87603787432585
109.79583865697325,154.855563675403,198.87379483233053
109.79567843968627,154.04579498100887,198.87165860185883
109.79553348118851,153.28171110206287,198.8696139241216
109.79539615208539,266.73889741098833,198.86769131669703
109.79526645237686,259.6164607324281,198.8658450032179
109.79514438206297,252.89584901379126,198.86409024247328
109.79503757053831,246.55441821161588,198.86242703446317
109.79493075901365,240.57080602074925,198.86084012039845
109.79483157688362,234.92480980403258,198.85932950027916
109.79474765354281,229.5973560747223,198.8578951741053
109.7946561008074,224.57050049649018,198.85653714187683
109.79457980686121,219.82727529552912,198.85524014480472
109.79451114230964,215.35165874297454,198.85400418288896
109.79444247775808,211.12857515490435,198.8528292561295
109.79437381320652,207.1437728220238,198.8517001057373
109.79432040744419,203.38379349208665,198.85064724929052
109.79425937228724,199.8359571111058,198.8496249104219
109.79421359591953,196.48830078819572,198.84866360670964
109.7941601901572,193.32951776041477,198.8477480793646
109.79411441378949,190.34897265155485,198.84687832838685
109.79407626681639,187.5365946606153,198.84603909498725
109.79403811984331,184.8828928205926,198.84526089674398
109.79399997287021,182.3789102221119,198.84451321607887
109.79396945529173,180.01622401342735,198.84379605299193
109.79393893771326,181.62677397526204,198.84310940748315
109.79390842013478,346.63074485411363,198.84246853834165
109.79387790255632,335.7064892450956,198.8418429279892
109.79385501437245,324.6926950599088,198.84126309400403
109.7938321261886,314.3003608491945,198.84069851880793
109.79380923800476,304.4943913973446,198.8401797199791
109.79378634982089,295.24164461379365,198.83967617993932
109.79377109103166,286.5109925681761,198.83918789868864
109.79374820284781,278.2729552793812,198.83873013501614
109.79373294405856,270.4997007155528,198.8383028889218
109.79371768526933,263.1650447940893,198.83789090161653
109.7937024264801,256.2442377585923,198.83749417310034
109.79368716769085,249.713903143709,198.83711270337326
109.79367953829623,243.55200725755316,198.83676175122434
109.793664279507,237.7377981465479,198.8364260578645
109.79365665011238,232.25165300753144,198.83610562329372
109.79364139132315,227.07501715259968,198.83580044751204
109.79363376192853,222.1904803030531,198.83551053051946
109.7936261325339,217.58153244876652,198.83522061352687
109.79361850313929,213.23264014213598,198.83496121411244
109.79361087374467,209.12909391018488,198.8347170734871
109.79360324435005,205.2571150660897,198.8344729328618
109.79359561495544,201.60358105097086,198.8342440510255
109.79358798556082,198.15619328057616,198.83403042797835
109.7935803561662,194.90330929859735,198.83381680493116
109.7935803561662,363.2591326674426,198.83363369946215
109.79357272677157,350.6908035362895,198.8334353352041
