Cell 0,Cell 4,Cell 5,Cell 7,Cell 9,Cell 16,Cell 17,Cell 19,Cell 25,Cell 30,Cell 38,Cell 39,Cell 47,Cell 49,Cell 56
125.79668,27.29514,47.003326,87.062256,110.4529,87.94077,79.67624,2511.846,38.4052,45.37125,221.92392,63.77735,31.025415,35.352684,23.473793
119.84187,27.29514,47.003326,83.14705,103.476944,81.196724,76.04969,2554.7637,37.93285,44.03473,209.95389,62.954556,30.06426,35.011757,22.831017
114.23567,27.29514,47.003326,79.46338,97.08195,92.214294,72.6446,2408.7842,37.4972,42.784718,198.64893,62.18205,29.169193,34.691475,82.65787
108.957664,27.29514,47.003326,75.997536,91.21953,85.18076,69.44744,2270.3345,37.0954,41.615635,187.97208,61.45676,28.335667,34.390587,77.23963
103.98864,27.29514,47.003326,72.73663,85.84534,78.62367,66.445526,2139.0251,36.724823,40.52222,177.88844,60.775806,27.55945,34.10792,72.25859
99.31051,27.29514,47.003326,69.66857,80.918724,72.51076,63.626923,2062.0115,36.38304,39.49959,168.36507,60.136475,26.836607,33.842373,67.67946
94.906235,27.29514,47.003326,66.781944,76.40238,66.81191,60.980442,1941.4471,36.067818,38.543163,159.37082,59.536217,26.163462,33.592903,63.469807
90.759796,27.29514,47.003326,64.06601,72.262184,61.499115,58.49557,1827.1014,35.77709,37.648647,150.8763,58.972652,25.5366,33.358543,59.599827
86.856094,27.29514,47.003326,61.51067,68.46678,56.546192,56.16244,1783.6735,35.50895,36.812035,142.85374,58.443535,24.95284,33.13837,56.042107
83.18092,27.29514,47.003326,59.10645,113.55107,51.92878,53.971786,2017.3615,35.261646,36.02958,135.27693,57.94676,24.40922,32.931534,52.771454
79.720894,27.29514,47.003326,56.8444,187.88509,47.624138,51.9149,1899.1002,35.033558,35.297775,128.1211,57.480347,23.902975,32.73722,49.7647
76.463425,27.29514,47.003326,54.716106,229.82266,43.611088,49.983627,1786.9388,34.823196,34.613342,121.36285,57.042446,23.43154,32.554676,47.00056
73.396645,27.29514,47.003326,100.35088,212.9055,39.869877,48.170288,1680.5624,34.629177,33.97322,114.980095,56.631306,22.992517,32.383186,44.459454
70.50941,27.29514,47.003326,95.64987,197.39722,36.38209,46.46768,1579.6726,34.450237,33.37453,108.95197,56.2453,22.583683,32.22208,42.123386
67.79118,27.29514,47.003326,91.22685,183.18047,33.130566,44.869045,1483.9866,34.2852,32.814598,191.8568,55.88289,22.202957,32.070732,39.975807
65.23209,27.29514,47.003326,87.065384,170.1477,30.099293,43.36803,1393.2358,34.132984,32.29091,186.04439,55.542625,21.84841,31.928545,38.001514
62.822815,27.29514,47.003326,83.15,158.20032,27.273355,41.958675,1307.1658,33.9926,31.801126,176.06786,55.223164,21.51824,31.794971,36.186523
60.554577,27.29514,47.003326,79.46615,147.24792,24.638844,40.635387,1225.535,33.86312,31.343046,166.64563,54.92323,21.210772,31.669485,34.51798
58.41913,27.29514,47.003326,76.000145,137.20764,22.182789,39.392902,1148.1146,33.743706,30.914618,157.74692,54.641624,20.924444,31.551598,32.98407
